scenario_id,scan_id,t,pose_x,pose_y,pose_yaw,goal_x,goal_y,theta_deg,r_m,hit_x,hit_y,valid,noise_free_r_m,final_goal_x,final_goal_y
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,284.9314270019531,0.0,,,0,3.138561487197876,5.7,3.6
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,285.4314270019531,3.143902063369751,6.408689975738525,-2.629655122756958,1,3.039220094680786,5.7,3.6
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,285.9314270019531,3.0508739948272705,6.408689975738525,-2.533031702041626,1,2.9461920261383057,5.7,3.6
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,286.4314270019531,2.96358323097229,6.408689975738525,-2.442140817642212,1,2.858901262283325,5.7,3.6
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,286.9314270019531,2.881521224975586,6.408689975738525,-2.3564746379852295,1,2.776839256286621,5.7,3.6
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,287.4314270019531,2.80423903465271,6.408689975738525,-2.275583028793335,1,2.699557065963745,5.7,3.6
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,287.9314270019531,2.7313363552093506,6.408689975738525,-2.199066638946533,1,2.6266543865203857,5.7,3.6
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,288.4314270019531,2.6624574661254883,6.408689975738525,-2.1265687942504883,1,2.5577754974365234,5.7,3.6
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,288.9314270019531,4.887535095214844,7.151730537414551,-4.224137306213379,1,4.782853126525879,5.7,3.6
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,289.4314270019531,4.902076721191406,7.19598913192749,-4.224137306213379,1,4.797394752502441,5.7,3.6
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,289.9314270019531,0.0,,,0,4.8123931884765625,5.7,3.6
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,290.4314270019531,0.0,,,0,4.827854156494141,5.7,3.6
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,290.9314270019531,0.0,,,0,4.843784809112549,5.7,3.6
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,291.4314270019531,4.964874267578125,7.375852108001709,-4.224137306213379,1,4.86019229888916,5.7,3.6
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,291.9314270019531,4.9817657470703125,7.421573638916016,-4.224137306213379,1,4.877083778381348,5.7,3.6
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,292.4314270019531,4.999149322509766,7.467617511749268,-4.224137306213379,1,4.894467353820801,5.7,3.6
1,0,0.0,5.6000000000000005,0.30000000000000004,1.8313987185422378,5.2,1.8,292.9314270019531,5.017032623291016,7.513994216918945,-4.224137306213379,1,4.912350654602051,5.7,3.6
