scenario_id,scan_id,t,pose_x,pose_y,pose_yaw,goal_x,goal_y,theta_deg,r_m,hit_x,hit_y,valid,noise_free_r_m,final_goal_x,final_goal_y
15,0,0.0,5.7,1.1,-2.9275319700259717,3.4000000000000004,0.6000000000000001,12.26477336883545,3.418808937072754,9.01667308807373,1.8210158348083496,1,3.394139289855957,0.2,0.5
15,0,0.0,5.7,1.1,-2.9275319700259717,3.4000000000000004,0.6000000000000001,12.76477336883545,0.0,,,0,3.4007201194763184,0.2,0.5
15,0,0.0,5.7,1.1,-2.9275319700259717,3.4000000000000004,0.6000000000000001,13.26477336883545,3.4322562217712402,9.01667308807373,1.8818753957748413,1,3.4075865745544434,0.2,0.5
15,0,0.0,5.7,1.1,-2.9275319700259717,3.4000000000000004,0.6000000000000001,13.76477336883545,3.439411163330078,9.01667308807373,1.9124910831451416,1,3.4147415161132812,0.2,0.5
15,0,0.0,5.7,1.1,-2.9275319700259717,3.4000000000000004,0.6000000000000001,14.26477336883545,3.446857213973999,9.01667308807373,1.9432380199432373,1,3.422187566757202,0.2,0.5
15,0,0.0,5.7,1.1,-2.9275319700259717,3.4000000000000004,0.6000000000000001,14.76477336883545,3.4545977115631104,9.01667308807373,1.9741215705871582,1,3.4299280643463135,0.2,0.5
15,0,0.0,5.7,1.1,-2.9275319700259717,3.4000000000000004,0.6000000000000001,15.26477336883545,3.4626355171203613,9.01667308807373,2.005147695541382,1,3.4379658699035645,0.2,0.5
15,0,0.0,5.7,1.1,-2.9275319700259717,3.4000000000000004,0.6000000000000001,15.76477336883545,3.4709744453430176,9.01667308807373,2.0363216400146484,1,3.4463047981262207,0.2,0.5
15,0,0.0,5.7,1.1,-2.9275319700259717,3.4000000000000004,0.6000000000000001,16.264774322509766,3.4796173572540283,9.01667308807373,2.0676498413085938,1,3.4549477100372314,0.2,0.5
15,0,0.0,5.7,1.1,-2.9275319700259717,3.4000000000000004,0.6000000000000001,16.764774322509766,3.4885683059692383,9.01667308807373,2.099138021469116,1,3.4638986587524414,0.2,0.5
