index(555),angle,range,intensity
0,0.23,1420.0,0.0
1,0.80,1419.0,0.0
2,1.36,1421.0,0.0
3,1.92,1423.0,0.0
4,2.50,1425.0,0.0
5,3.05,1426.0,0.0
6,3.61,1429.0,0.0
7,4.17,1431.0,0.0
8,4.72,1433.0,0.0
9,5.28,1439.0,0.0
10,5.84,1439.0,0.0
11,6.41,1439.0,0.0
12,6.95,1443.0,0.0
13,7.50,1447.0,0.0
14,8.06,1451.0,0.0
15,8.61,1454.0,0.0
16,9.17,1458.0,0.0
17,9.73,1462.0,0.0
18,10.30,1466.0,0.0
19,10.84,1469.0,0.0
20,11.39,1474.0,0.0
21,11.95,1478.0,0.0
22,12.50,1482.0,0.0
23,13.06,1487.0,0.0
24,13.63,1478.0,0.0
25,14.20,1460.0,0.0
26,14.75,1468.0,0.0
27,15.30,1476.0,0.0
28,15.86,1485.0,0.0
29,16.41,1492.0,0.0
30,16.95,1501.0,0.0
31,17.52,1512.0,0.0
32,18.08,1520.0,0.0
33,18.63,1528.0,0.0
34,19.17,1541.0,0.0
35,19.73,1547.0,0.0
36,20.28,1558.0,0.0
37,20.83,1569.0,0.0
38,21.39,1580.0,0.0
39,21.95,1584.0,0.0
40,22.48,1596.0,0.0
41,23.05,1600.0,0.0
42,23.61,1602.0,0.0
43,24.17,1605.0,0.0
44,24.70,1567.0,0.0
45,25.27,1545.0,0.0
46,25.84,1514.0,0.0
47,26.42,1491.0,0.0
48,27.00,1467.0,0.0
49,27.56,1446.0,0.0
50,28.14,1426.0,0.0
51,28.70,1403.0,0.0
52,29.28,1383.0,0.0
53,29.86,1363.0,0.0
54,30.42,1349.0,0.0
55,31.00,1332.0,0.0
56,31.58,1316.0,0.0
57,32.14,1301.0,0.0
58,32.70,1287.0,0.0
59,33.28,1271.0,0.0
60,33.84,1260.0,0.0
61,34.42,1246.0,0.0
62,35.00,1234.0,0.0
63,35.56,1221.0,0.0
64,36.13,1213.0,0.0
65,36.69,1202.0,0.0
66,37.27,1189.0,0.0
67,37.84,1177.0,0.0
68,38.42,1166.0,0.0
69,39.53,1182.0,0.0
70,40.08,1172.0,0.0
71,40.66,1161.0,0.0
72,41.22,1150.0,0.0
73,41.80,1141.0,0.0
74,42.38,1129.0,0.0
75,42.94,1120.0,0.0
76,43.50,1111.0,0.0
77,44.06,1103.0,0.0
78,44.64,1093.0,0.0
79,45.22,1084.0,0.0
80,45.78,1076.0,0.0
81,46.36,1067.0,0.0
82,46.92,1059.0,0.0
83,47.45,1049.0,0.0
84,48.00,1054.0,0.0
85,48.58,1035.0,0.0
86,49.14,1028.0,0.0
87,49.70,1022.0,0.0
88,50.28,1014.0,0.0
89,50.83,1005.0,0.0
90,51.41,1000.0,0.0
91,51.95,995.0,0.0
92,52.53,989.0,0.0
93,53.09,981.0,0.0
94,53.66,977.0,0.0
95,54.22,971.0,0.0
96,54.80,965.0,0.0
97,55.34,959.0,0.0
98,55.91,955.0,0.0
99,56.47,950.0,0.0
100,57.03,947.0,0.0
101,57.59,943.0,0.0
102,58.16,938.0,0.0
103,58.72,935.0,0.0
104,59.28,929.0,0.0
105,59.84,926.0,0.0
106,60.41,924.0,0.0
107,60.95,922.0,0.0
108,61.50,934.0,0.0
109,62.05,954.0,0.0
110,62.56,974.0,0.0
111,63.09,997.0,0.0
112,63.61,1020.0,0.0
113,64.14,1051.0,100000.0
114,66.31,2168.0,100000.0
115,66.88,2168.0,0.0
116,67.42,2165.0,0.0
117,67.98,2159.0,0.0
118,68.56,2154.0,0.0
119,69.14,2143.0,0.0
120,69.69,2132.0,0.0
121,70.25,2127.0,0.0
122,70.81,2122.0,0.0
123,71.38,2117.0,0.0
124,71.94,2115.0,0.0
125,72.50,2104.0,0.0
126,73.06,2100.0,0.0
127,73.64,2097.0,0.0
128,74.20,2095.0,0.0
129,74.77,2094.0,0.0
130,75.33,2093.0,0.0
131,75.88,2101.0,0.0
132,76.45,2095.0,0.0
133,77.02,2089.0,0.0
134,77.58,2081.0,0.0
135,78.14,2081.0,0.0
136,78.70,2077.0,0.0
137,79.27,2077.0,0.0
138,79.83,2077.0,0.0
139,80.39,2076.0,0.0
140,80.95,2066.0,0.0
141,81.52,2074.0,0.0
142,82.08,2071.0,0.0
143,82.64,2069.0,0.0
144,83.20,2069.0,0.0
145,83.77,2062.0,0.0
146,84.33,2065.0,0.0
147,84.89,2066.0,0.0
148,85.45,2068.0,0.0
149,86.02,2061.0,0.0
150,86.58,2067.0,0.0
151,87.14,2074.0,0.0
152,87.70,2072.0,0.0
153,88.27,2071.0,0.0
154,88.83,2074.0,0.0
155,89.39,2079.0,0.0
156,89.95,2076.0,0.0
157,90.52,2076.0,0.0
158,91.08,2077.0,0.0
159,91.66,2082.0,0.0
160,92.19,2114.0,0.0
161,92.75,2119.0,0.0
162,94.34,2572.0,100000.0
163,97.52,868.0,100000.0
164,98.08,867.0,0.0
165,98.64,869.0,0.0
166,99.19,869.0,0.0
167,99.73,872.0,0.0
168,100.30,875.0,0.0
169,100.86,877.0,0.0
170,101.41,880.0,0.0
171,101.95,880.0,0.0
172,102.52,884.0,0.0
173,103.08,888.0,0.0
174,103.63,890.0,0.0
175,104.19,894.0,0.0
176,104.75,896.0,0.0
177,105.28,900.0,0.0
178,105.84,903.0,0.0
179,106.41,905.0,0.0
180,106.97,909.0,0.0
181,107.52,914.0,0.0
182,108.06,917.0,0.0
183,108.63,920.0,0.0
184,109.17,926.0,0.0
185,109.73,930.0,0.0
186,110.28,935.0,0.0
187,110.84,938.0,0.0
188,111.39,941.0,0.0
189,111.94,950.0,0.0
190,112.50,954.0,0.0
191,113.05,959.0,0.0
192,113.61,965.0,0.0
193,114.16,972.0,0.0
194,114.66,980.0,0.0
195,115.22,984.0,0.0
196,115.77,996.0,0.0
197,116.33,1001.0,0.0
198,116.88,1007.0,0.0
199,117.44,1012.0,0.0
200,117.98,1020.0,0.0
201,118.55,1026.0,0.0
202,119.09,1032.0,0.0
203,119.66,1039.0,0.0
204,120.20,1046.0,0.0
205,120.77,1054.0,0.0
206,121.31,1059.0,0.0
207,121.88,1067.0,0.0
208,122.42,1074.0,0.0
209,122.98,1081.0,0.0
210,123.53,1089.0,0.0
211,124.09,1094.0,0.0
212,124.64,1102.0,0.0
213,125.20,1109.0,0.0
214,126.89,1101.0,0.0
215,127.47,1091.0,0.0
216,128.05,1081.0,0.0
217,128.63,1069.0,0.0
218,129.20,1053.0,0.0
219,129.77,1048.0,0.0
220,130.34,1038.0,0.0
221,130.92,1028.0,0.0
222,131.48,1021.0,0.0
223,132.06,1006.0,0.0
224,132.64,1000.0,0.0
225,133.20,992.0,0.0
226,133.78,984.0,0.0
227,134.34,982.0,0.0
228,134.92,967.0,0.0
229,135.50,961.0,0.0
230,136.08,952.0,0.0
231,136.66,944.0,0.0
232,137.25,937.0,0.0
233,137.81,927.0,0.0
234,138.38,925.0,0.0
235,138.94,921.0,0.0
236,139.52,917.0,0.0
237,140.05,929.0,0.0
238,140.58,945.0,0.0
239,141.13,957.0,0.0
240,141.67,971.0,0.0
241,142.22,985.0,0.0
242,142.75,998.0,0.0
243,143.30,1010.0,0.0
244,143.78,1080.0,0.0
245,144.34,1078.0,0.0
246,144.91,1075.0,0.0
247,174.08,713.0,0.0
248,174.64,713.0,0.0
249,175.19,714.0,0.0
250,175.75,715.0,0.0
251,176.31,716.0,0.0
252,176.88,717.0,0.0
253,177.44,717.0,0.0
254,178.00,719.0,0.0
255,178.56,719.0,0.0
256,179.11,720.0,0.0
257,179.67,721.0,0.0
258,180.23,722.0,0.0
259,180.80,723.0,0.0
260,181.36,724.0,0.0
261,181.92,725.0,0.0
262,182.48,727.0,0.0
263,183.03,729.0,0.0
264,183.59,729.0,0.0
265,184.16,731.0,0.0
266,184.69,733.0,0.0
267,185.25,734.0,0.0
268,185.81,737.0,0.0
269,186.36,737.0,0.0
270,186.91,740.0,0.0
271,187.47,742.0,0.0
272,188.02,743.0,0.0
273,188.58,746.0,0.0
274,189.13,748.0,0.0
275,189.69,750.0,0.0
276,190.23,753.0,0.0
277,190.78,755.0,0.0
278,191.34,758.0,0.0
279,191.89,760.0,0.0
280,192.44,764.0,0.0
281,193.00,767.0,0.0
282,193.53,769.0,0.0
283,194.09,773.0,0.0
284,194.64,776.0,0.0
285,197.48,751.0,0.0
286,198.08,737.0,0.0
287,198.67,723.0,0.0
288,199.25,711.0,0.0
289,199.84,699.0,0.0
290,200.44,686.0,0.0
291,201.02,674.0,0.0
292,201.61,662.0,0.0
293,202.20,653.0,0.0
294,202.78,641.0,0.0
295,203.38,629.0,0.0
296,203.98,615.0,0.0
297,204.59,601.0,0.0
298,205.14,592.0,0.0
299,205.72,584.0,0.0
300,206.31,576.0,0.0
301,206.91,568.0,0.0
302,207.48,561.0,0.0
303,208.06,554.0,0.0
304,208.66,547.0,0.0
305,209.23,541.0,0.0
306,209.81,535.0,0.0
307,210.41,529.0,0.0
308,210.98,522.0,0.0
309,211.58,516.0,0.0
310,212.16,511.0,0.0
311,212.73,505.0,0.0
312,213.33,499.0,0.0
313,213.92,493.0,0.0
314,214.48,490.0,0.0
315,215.08,483.0,0.0
316,215.67,479.0,0.0
317,216.23,474.0,0.0
318,216.83,469.0,0.0
319,217.42,465.0,0.0
320,217.98,461.0,0.0
321,218.58,456.0,0.0
322,219.17,452.0,0.0
323,219.75,447.0,0.0
324,220.33,444.0,0.0
325,220.92,439.0,0.0
326,221.48,436.0,0.0
327,222.06,433.0,0.0
328,222.66,429.0,0.0
329,223.22,426.0,0.0
330,223.81,423.0,0.0
331,224.39,420.0,0.0
332,224.97,416.0,0.0
333,225.55,413.0,0.0
334,226.14,410.0,0.0
335,226.78,397.0,0.0
336,227.44,386.0,0.0
337,228.09,375.0,0.0
338,228.70,371.0,0.0
339,229.28,367.0,0.0
340,229.87,364.0,0.0
341,230.45,361.0,0.0
342,231.05,358.0,0.0
343,231.63,355.0,0.0
344,232.20,353.0,0.0
345,232.77,351.0,0.0
346,233.36,348.0,0.0
347,233.92,346.0,0.0
348,234.52,343.0,0.0
349,235.09,341.0,0.0
350,235.69,338.0,0.0
351,236.27,336.0,0.0
352,236.84,334.0,0.0
353,237.42,332.0,0.0
354,237.98,330.0,0.0
355,238.56,329.0,0.0
356,239.14,327.0,0.0
357,239.72,325.0,0.0
358,240.28,324.0,0.0
359,240.86,322.0,0.0
360,241.44,320.0,0.0
361,242.02,319.0,0.0
362,242.58,317.0,0.0
363,243.16,316.0,0.0
364,243.75,314.0,0.0
365,244.31,313.0,0.0
366,244.89,311.0,0.0
367,245.45,310.0,0.0
368,246.02,310.0,0.0
369,246.59,308.0,0.0
370,247.17,307.0,0.0
371,247.72,306.0,0.0
372,248.30,305.0,0.0
373,248.86,304.0,0.0
