index(614),angle,range,intensity
0,0.08,1787.0,0.0
1,0.63,1790.0,0.0
2,1.19,1793.0,0.0
3,1.75,1800.0,0.0
4,2.33,1805.0,0.0
5,2.86,1813.0,0.0
6,3.42,1813.0,0.0
7,3.97,1813.0,0.0
8,4.59,1688.0,0.0
9,5.19,1578.0,0.0
10,5.80,1497.0,0.0
11,6.38,1433.0,0.0
12,6.97,1370.0,0.0
13,7.55,1326.0,0.0
14,9.94,1141.0,0.0
15,10.53,1092.0,0.0
16,11.14,1044.0,0.0
17,11.75,998.0,0.0
18,12.34,977.0,0.0
19,12.91,956.0,0.0
20,13.47,960.0,0.0
21,14.02,963.0,0.0
22,14.58,964.0,0.0
23,15.13,965.0,0.0
24,15.67,966.0,0.0
25,16.22,968.0,0.0
26,16.78,971.0,0.0
27,17.34,971.0,100000.0
28,18.41,1838.0,100000.0
29,19.02,1714.0,0.0
30,19.56,1700.0,0.0
31,20.13,1701.0,0.0
32,20.67,1703.0,0.0
33,21.19,1826.0,0.0
34,21.70,1899.0,0.0
35,22.27,1913.0,100000.0
36,25.80,492.0,100000.0
37,26.36,483.0,0.0
38,26.95,475.0,0.0
39,27.55,467.0,0.0
40,28.16,459.0,0.0
41,28.73,453.0,0.0
42,29.34,446.0,0.0
43,29.95,437.0,0.0
44,30.55,431.0,0.0
45,31.14,425.0,0.0
46,31.75,417.0,0.0
47,32.34,412.0,0.0
48,32.94,406.0,0.0
49,33.53,400.0,0.0
50,34.14,394.0,0.0
51,34.73,389.0,0.0
52,35.34,383.0,0.0
53,35.94,378.0,0.0
54,36.53,374.0,0.0
55,37.11,370.0,0.0
56,37.72,365.0,0.0
57,38.31,361.0,0.0
58,38.91,357.0,0.0
59,39.50,353.0,0.0
60,40.09,349.0,0.0
61,40.70,344.0,0.0
62,41.30,340.0,0.0
63,41.88,337.0,0.0
64,42.48,333.0,0.0
65,43.06,330.0,0.0
66,43.67,327.0,0.0
67,44.25,324.0,0.0
68,44.84,321.0,0.0
69,45.44,318.0,0.0
70,46.03,315.0,0.0
71,46.61,313.0,0.0
72,47.22,309.0,0.0
73,47.80,307.0,0.0
74,48.39,304.0,0.0
75,48.98,301.0,0.0
76,49.56,299.0,0.0
77,50.19,296.0,0.0
78,50.77,294.0,0.0
79,51.34,292.0,0.0
80,51.94,290.0,0.0
81,52.53,287.0,0.0
82,53.11,286.0,0.0
83,53.70,283.0,0.0
84,54.30,281.0,0.0
85,54.86,280.0,0.0
86,55.44,278.0,0.0
87,56.03,276.0,0.0
88,56.61,274.0,0.0
89,57.20,272.0,0.0
90,57.77,271.0,0.0
91,58.36,269.0,0.0
92,58.92,268.0,0.0
93,59.52,266.0,0.0
94,60.09,265.0,0.0
95,60.67,263.0,0.0
96,61.25,262.0,0.0
97,61.81,261.0,0.0
98,62.42,259.0,0.0
99,62.97,259.0,0.0
100,63.55,258.0,0.0
101,64.05,260.0,0.0
102,64.56,262.0,0.0
103,65.06,266.0,0.0
104,66.56,275.0,0.0
105,68.05,254.0,0.0
106,68.61,253.0,0.0
107,69.19,252.0,0.0
108,69.75,251.0,0.0
109,70.34,250.0,0.0
110,70.91,249.0,0.0
111,71.48,248.0,0.0
112,72.06,247.0,0.0
113,72.64,246.0,0.0
114,73.22,246.0,0.0
115,73.78,245.0,0.0
116,74.38,244.0,0.0
117,74.94,244.0,0.0
118,75.50,243.0,0.0
119,76.06,243.0,0.0
120,76.64,242.0,0.0
121,77.19,242.0,0.0
122,77.78,241.0,0.0
123,78.34,241.0,0.0
124,78.89,241.0,0.0
125,79.47,240.0,0.0
126,80.03,240.0,0.0
127,80.58,240.0,0.0
128,81.16,239.0,0.0
129,81.72,239.0,0.0
130,82.27,239.0,0.0
131,82.83,239.0,0.0
132,83.39,239.0,0.0
133,83.97,238.0,0.0
134,84.53,238.0,0.0
135,85.09,238.0,0.0
136,85.64,238.0,0.0
137,86.20,238.0,0.0
138,86.77,238.0,0.0
139,87.31,238.0,0.0
140,87.88,238.0,0.0
141,88.44,238.0,0.0
142,88.98,238.0,0.0
143,89.55,238.0,0.0
144,90.11,238.0,0.0
145,90.66,238.0,0.0
146,91.22,238.0,0.0
147,91.78,238.0,0.0
148,92.30,239.0,0.0
149,92.86,239.0,0.0
150,93.42,239.0,0.0
151,93.97,239.0,0.0
152,94.52,240.0,0.0
153,95.08,240.0,0.0
154,95.66,240.0,0.0
155,96.19,241.0,0.0
156,96.75,241.0,0.0
157,97.31,241.0,0.0
158,97.83,242.0,0.0
159,98.39,242.0,0.0
160,98.94,243.0,0.0
161,99.48,243.0,0.0
162,100.05,243.0,0.0
163,100.59,244.0,0.0
164,101.11,245.0,0.0
165,101.67,245.0,0.0
166,102.22,246.0,0.0
167,102.75,247.0,0.0
168,103.28,248.0,0.0
169,103.84,248.0,0.0
170,104.38,249.0,0.0
171,104.92,250.0,0.0
172,105.48,250.0,0.0
173,106.00,251.0,0.0
174,106.55,252.0,0.0
175,107.09,253.0,0.0
176,107.63,254.0,0.0
177,108.16,255.0,0.0
178,108.72,255.0,0.0
179,109.25,256.0,0.0
180,109.78,258.0,0.0
181,110.33,259.0,0.0
182,110.84,260.0,0.0
183,111.38,262.0,0.0
184,111.94,262.0,0.0
185,112.47,263.0,0.0
186,113.00,265.0,0.0
187,113.55,266.0,0.0
188,114.06,267.0,0.0
189,114.59,269.0,0.0
190,115.14,270.0,0.0
191,115.66,272.0,0.0
192,116.19,274.0,0.0
193,116.73,275.0,0.0
194,117.23,277.0,0.0
195,117.77,278.0,0.0
196,118.30,280.0,0.0
197,118.83,282.0,0.0
198,119.34,284.0,0.0
199,119.88,286.0,0.0
200,120.41,288.0,0.0
201,120.95,289.0,0.0
202,121.47,291.0,0.0
203,122.00,293.0,0.0
204,122.53,295.0,0.0
205,123.05,297.0,0.0
206,123.58,299.0,0.0
207,124.11,302.0,0.0
208,124.64,304.0,0.0
209,125.16,306.0,0.0
210,125.70,308.0,0.0
211,126.23,310.0,0.0
212,126.75,312.0,0.0
213,127.28,315.0,0.0
214,127.81,318.0,0.0
215,128.34,320.0,0.0
216,128.84,324.0,0.0
217,129.36,328.0,0.0
218,129.89,331.0,0.0
219,130.41,333.0,0.0
220,130.94,336.0,100000.0
221,131.33,352.0,100000.0
222,131.75,367.0,100000.0
223,132.27,371.0,0.0
224,132.80,375.0,0.0
225,133.33,378.0,0.0
226,135.52,327.0,0.0
227,136.06,328.0,0.0
228,136.58,330.0,0.0
229,137.11,334.0,0.0
230,137.63,337.0,0.0
231,138.14,342.0,0.0
232,138.67,346.0,0.0
233,139.17,351.0,0.0
234,139.69,356.0,0.0
235,140.17,362.0,0.0
236,140.70,366.0,0.0
237,141.20,372.0,0.0
238,141.70,378.0,0.0
239,142.20,385.0,0.0
240,142.70,392.0,0.0
241,143.22,397.0,0.0
242,143.73,403.0,0.0
243,144.25,409.0,0.0
244,148.11,414.0,0.0
245,148.69,412.0,0.0
246,149.25,408.0,0.0
247,149.83,407.0,0.0
248,150.41,405.0,0.0
249,150.97,402.0,0.0
250,151.56,399.0,0.0
251,152.14,397.0,0.0
252,152.70,395.0,0.0
253,153.28,393.0,0.0
254,153.84,391.0,0.0
255,154.44,388.0,0.0
256,155.00,387.0,0.0
257,155.56,385.0,0.0
258,156.14,383.0,0.0
259,156.72,381.0,0.0
260,157.28,380.0,0.0
261,157.86,378.0,0.0
262,158.44,376.0,0.0
263,158.98,376.0,0.0
264,159.55,376.0,0.0
265,160.14,372.0,0.0
266,160.73,371.0,0.0
267,161.31,368.0,0.0
268,161.88,367.0,0.0
269,162.44,366.0,0.0
270,163.02,364.0,0.0
271,163.58,363.0,0.0
272,164.16,361.0,0.0
273,164.70,360.0,0.0
274,165.28,359.0,0.0
275,165.83,359.0,0.0
276,166.41,358.0,0.0
277,166.95,357.0,0.0
278,167.55,355.0,0.0
279,168.11,353.0,0.0
280,168.66,355.0,0.0
281,169.22,353.0,0.0
282,169.80,351.0,0.0
283,170.36,350.0,0.0
284,170.92,350.0,0.0
285,171.47,350.0,0.0
286,172.03,349.0,0.0
287,172.61,346.0,0.0
288,173.17,346.0,0.0
289,173.73,345.0,0.0
290,174.28,347.0,0.0
291,174.83,346.0,0.0
292,175.41,345.0,0.0
293,175.95,345.0,0.0
294,176.52,345.0,0.0
295,177.08,344.0,0.0
296,177.64,343.0,0.0
297,178.19,344.0,0.0
298,178.75,344.0,0.0
299,179.30,343.0,0.0
300,179.88,342.0,0.0
301,180.42,342.0,0.0
302,181.00,341.0,0.0
303,181.55,341.0,0.0
304,182.11,341.0,0.0
305,182.67,340.0,0.0
306,183.19,340.0,0.0
307,183.75,339.0,0.0
308,184.31,339.0,0.0
309,184.86,340.0,0.0
310,185.42,339.0,0.0
311,185.98,339.0,0.0
312,186.53,340.0,0.0
313,187.11,339.0,0.0
314,187.66,339.0,0.0
315,188.20,340.0,0.0
316,188.77,340.0,0.0
317,189.31,340.0,0.0
318,189.88,341.0,0.0
319,190.44,341.0,0.0
320,191.00,341.0,0.0
321,191.53,342.0,0.0
322,192.06,345.0,100000.0
323,192.45,363.0,100000.0
324,192.83,381.0,100000.0
325,193.56,363.0,100000.0
326,194.22,353.0,0.0
327,194.73,358.0,0.0
328,195.33,352.0,0.0
329,195.95,346.0,0.0
330,196.44,354.0,0.0
331,196.98,355.0,0.0
332,197.53,356.0,0.0
333,198.08,357.0,0.0
334,198.63,359.0,0.0
335,199.16,360.0,0.0
336,199.72,361.0,0.0
337,200.27,363.0,0.0
338,200.78,365.0,0.0
339,201.34,366.0,0.0
340,201.88,369.0,0.0
341,202.42,370.0,0.0
342,202.97,371.0,0.0
343,203.52,373.0,0.0
344,204.06,375.0,0.0
345,204.59,377.0,0.0
346,205.11,378.0,0.0
347,205.64,380.0,0.0
348,206.16,383.0,0.0
349,206.70,385.0,0.0
350,207.25,386.0,0.0
351,207.78,389.0,0.0
352,208.30,392.0,0.0
353,208.84,394.0,0.0
354,209.38,396.0,0.0
355,209.92,398.0,0.0
356,210.45,401.0,0.0
357,211.00,403.0,0.0
358,211.53,405.0,0.0
359,212.06,408.0,0.0
360,212.61,410.0,0.0
361,213.13,413.0,0.0
362,213.67,416.0,0.0
363,214.19,419.0,0.0
364,214.73,421.0,0.0
365,215.27,425.0,0.0
366,215.80,428.0,0.0
367,216.33,431.0,0.0
368,216.88,434.0,0.0
369,217.41,437.0,0.0
370,217.94,440.0,0.0
371,218.47,443.0,0.0
372,219.02,447.0,0.0
373,219.53,451.0,0.0
374,220.06,454.0,0.0
375,220.59,459.0,0.0
376,221.13,461.0,0.0
377,221.67,464.0,0.0
378,222.19,469.0,0.0
379,222.73,473.0,0.0
380,223.25,477.0,0.0
381,223.80,480.0,0.0
382,224.31,486.0,0.0
383,224.86,490.0,0.0
384,225.39,494.0,0.0
385,225.92,500.0,0.0
386,226.45,504.0,0.0
387,226.98,508.0,0.0
388,227.50,514.0,0.0
389,228.05,519.0,0.0
390,228.58,523.0,0.0
391,229.11,529.0,0.0
392,229.64,534.0,100000.0
393,232.41,1853.0,100000.0
394,232.97,1864.0,0.0
395,233.52,1854.0,0.0
396,234.03,1968.0,0.0
397,234.56,2082.0,0.0
398,235.06,2252.0,0.0
399,237.12,3193.0,0.0
400,237.66,3246.0,0.0
401,238.22,3288.0,0.0
402,238.77,3351.0,0.0
403,239.31,3413.0,0.0
404,239.86,3475.0,0.0
405,240.39,3542.0,0.0
406,240.95,3616.0,0.0
407,241.48,3675.0,100000.0
408,243.95,1077.0,100000.0
409,244.53,1064.0,0.0
410,245.06,1075.0,0.0
411,245.63,1072.0,0.0
412,246.19,1068.0,0.0
413,246.75,1065.0,0.0
414,247.33,1060.0,0.0
