index(591),angle,range,intensity
0,1.92,363.0,0.0
1,2.55,355.0,0.0
2,3.19,347.0,0.0
3,3.83,339.0,0.0
4,4.47,332.0,0.0
5,5.09,326.0,0.0
6,5.75,318.0,0.0
7,6.41,310.0,0.0
8,8.31,294.0,0.0
9,8.94,290.0,0.0
10,9.52,288.0,0.0
11,10.11,286.0,0.0
12,10.70,284.0,0.0
13,11.28,283.0,0.0
14,11.86,282.0,0.0
15,12.42,281.0,0.0
16,12.98,281.0,0.0
17,13.55,281.0,0.0
18,14.13,280.0,0.0
19,14.67,281.0,0.0
20,15.23,281.0,0.0
21,15.78,281.0,0.0
22,16.33,282.0,0.0
23,16.88,283.0,0.0
24,17.44,283.0,0.0
25,17.98,284.0,0.0
26,18.50,286.0,0.0
27,19.03,288.0,0.0
28,19.56,290.0,0.0
29,20.09,292.0,0.0
30,20.63,294.0,0.0
31,21.16,296.0,0.0
32,21.69,297.0,0.0
33,22.19,302.0,0.0
34,22.72,304.0,0.0
35,23.23,308.0,0.0
36,23.73,313.0,0.0
37,24.22,319.0,0.0
38,24.67,329.0,100000.0
39,25.06,343.0,100000.0
40,25.53,353.0,0.0
41,26.02,359.0,0.0
42,26.52,365.0,0.0
43,27.05,368.0,0.0
44,27.56,373.0,0.0
45,28.09,375.0,0.0
46,28.63,377.0,0.0
47,29.17,379.0,0.0
48,29.70,382.0,0.0
49,30.27,382.0,0.0
50,30.80,383.0,0.0
51,31.36,384.0,0.0
52,31.89,385.0,0.0
53,32.45,386.0,0.0
54,33.00,387.0,0.0
55,33.55,387.0,0.0
56,34.11,388.0,0.0
57,34.64,389.0,0.0
58,35.19,390.0,0.0
59,35.73,391.0,0.0
60,36.28,392.0,0.0
61,36.83,393.0,0.0
62,37.38,395.0,0.0
63,37.92,397.0,0.0
64,38.45,399.0,0.0
65,38.98,403.0,0.0
66,39.48,408.0,0.0
67,40.02,413.0,0.0
68,42.30,497.0,0.0
69,42.86,494.0,0.0
70,43.45,487.0,0.0
71,44.02,484.0,0.0
72,44.61,478.0,0.0
73,45.20,473.0,0.0
74,45.72,471.0,0.0
75,46.30,466.0,0.0
76,46.88,464.0,0.0
77,47.45,460.0,0.0
78,48.03,456.0,0.0
79,48.63,450.0,0.0
80,49.20,447.0,0.0
81,49.75,448.0,0.0
82,50.34,443.0,0.0
83,50.92,438.0,0.0
84,51.50,437.0,0.0
85,52.08,433.0,0.0
86,52.66,429.0,0.0
87,53.23,426.0,0.0
88,53.81,423.0,0.0
89,54.38,421.0,0.0
90,54.97,418.0,0.0
91,55.53,415.0,0.0
92,56.11,413.0,0.0
93,56.70,410.0,0.0
94,57.25,408.0,0.0
95,57.84,404.0,0.0
96,58.42,402.0,0.0
97,58.98,400.0,0.0
98,59.58,397.0,0.0
99,60.16,395.0,0.0
100,60.72,393.0,0.0
101,61.30,391.0,0.0
102,61.86,389.0,0.0
103,62.44,387.0,0.0
104,63.02,385.0,0.0
105,63.58,383.0,0.0
106,64.17,380.0,0.0
107,64.75,378.0,0.0
108,65.33,375.0,0.0
109,65.89,374.0,0.0
110,66.47,372.0,0.0
111,67.03,370.0,0.0
112,67.63,368.0,0.0
113,68.20,365.0,0.0
114,68.80,364.0,0.0
115,69.36,363.0,0.0
116,69.94,361.0,0.0
117,70.48,360.0,0.0
118,71.06,359.0,0.0
119,71.64,358.0,0.0
120,72.20,356.0,0.0
121,72.78,355.0,0.0
122,73.34,353.0,0.0
123,73.91,352.0,0.0
124,74.48,351.0,0.0
125,75.06,348.0,0.0
126,75.63,348.0,0.0
127,76.20,347.0,0.0
128,76.75,347.0,0.0
129,77.33,345.0,0.0
130,77.89,344.0,0.0
131,78.45,344.0,0.0
132,79.02,343.0,0.0
133,79.58,342.0,0.0
134,80.14,342.0,0.0
135,80.70,341.0,0.0
136,81.27,340.0,0.0
137,81.83,340.0,0.0
138,82.39,339.0,0.0
139,82.95,339.0,0.0
140,83.53,338.0,0.0
141,84.08,338.0,0.0
142,84.64,337.0,0.0
143,85.19,337.0,0.0
144,85.73,339.0,0.0
145,86.97,328.0,0.0
146,87.50,331.0,0.0
147,88.02,334.0,0.0
148,88.56,335.0,0.0
149,89.13,335.0,0.0
150,89.69,333.0,0.0
151,90.25,334.0,0.0
152,90.80,335.0,0.0
153,91.38,335.0,0.0
154,91.94,335.0,0.0
155,92.50,335.0,0.0
156,93.06,335.0,0.0
157,93.63,335.0,0.0
158,94.17,336.0,0.0
159,94.75,335.0,0.0
160,95.31,335.0,0.0
161,95.88,335.0,0.0
162,96.42,336.0,0.0
163,96.98,336.0,0.0
164,97.55,336.0,0.0
165,98.09,337.0,0.0
166,98.66,337.0,0.0
167,99.22,338.0,0.0
168,99.77,339.0,0.0
169,100.33,339.0,0.0
170,100.89,339.0,0.0
171,101.44,340.0,0.0
172,102.00,340.0,0.0
173,102.56,341.0,0.0
174,103.11,342.0,0.0
175,103.67,342.0,0.0
176,104.22,343.0,0.0
177,104.78,343.0,0.0
178,105.31,346.0,0.0
179,105.89,345.0,0.0
