index(578),angle,range,intensity
0,0.09,797.0,0.0
1,0.66,787.0,0.0
2,1.25,769.0,0.0
3,1.81,770.0,0.0
4,2.38,772.0,0.0
5,2.94,774.0,0.0
6,3.52,775.0,0.0
7,4.05,777.0,0.0
8,4.61,780.0,0.0
9,5.17,783.0,0.0
10,5.70,785.0,0.0
11,6.27,788.0,0.0
12,6.83,791.0,0.0
13,7.36,794.0,0.0
14,7.92,797.0,0.0
15,8.47,800.0,0.0
16,9.02,802.0,0.0
17,9.58,806.0,0.0
18,10.13,809.0,0.0
19,10.67,812.0,0.0
20,11.23,815.0,0.0
21,11.78,820.0,0.0
22,12.33,823.0,0.0
23,12.88,826.0,0.0
24,13.44,829.0,0.0
25,13.98,833.0,0.0
26,14.53,836.0,0.0
27,15.09,838.0,0.0
28,15.64,842.0,0.0
29,16.19,845.0,0.0
30,16.75,847.0,0.0
31,17.30,850.0,0.0
32,17.84,854.0,0.0
33,18.41,858.0,0.0
34,18.94,861.0,0.0
35,19.50,865.0,0.0
36,20.06,870.0,0.0
37,20.59,874.0,0.0
38,21.19,855.0,0.0
39,21.77,848.0,0.0
40,22.33,842.0,0.0
41,22.92,820.0,0.0
42,23.52,803.0,0.0
43,24.09,786.0,0.0
44,24.69,770.0,0.0
45,25.28,754.0,0.0
46,25.89,740.0,0.0
47,26.47,728.0,0.0
48,27.06,715.0,0.0
49,27.66,703.0,0.0
50,28.23,691.0,0.0
51,28.83,679.0,0.0
52,29.42,669.0,0.0
53,30.00,659.0,0.0
54,30.58,650.0,0.0
55,31.17,640.0,0.0
56,31.75,632.0,0.0
57,32.33,624.0,0.0
58,32.92,616.0,0.0
59,33.50,609.0,0.0
60,34.08,601.0,0.0
61,34.67,594.0,0.0
62,35.25,588.0,0.0
63,35.81,582.0,0.0
64,36.41,576.0,0.0
65,36.98,570.0,0.0
66,37.56,564.0,0.0
67,38.14,559.0,0.0
68,38.72,557.0,0.0
69,39.28,551.0,0.0
70,39.88,544.0,0.0
71,40.45,539.0,0.0
72,41.05,534.0,0.0
73,41.61,529.0,0.0
74,42.19,525.0,0.0
75,42.78,520.0,0.0
76,43.34,517.0,0.0
77,43.92,513.0,0.0
78,44.50,509.0,0.0
79,45.06,506.0,0.0
80,45.64,502.0,0.0
81,46.22,499.0,0.0
82,46.78,496.0,0.0
83,47.36,493.0,0.0
84,47.94,491.0,0.0
85,48.52,488.0,0.0
86,49.11,485.0,0.0
87,49.66,483.0,0.0
88,50.23,480.0,0.0
89,51.94,472.0,0.0
90,52.50,472.0,0.0
91,54.61,494.0,0.0
92,55.19,488.0,0.0
93,55.72,493.0,0.0
94,56.22,501.0,0.0
95,56.75,509.0,0.0
96,57.23,521.0,0.0
97,57.75,531.0,0.0
98,58.27,541.0,0.0
99,58.78,552.0,0.0
100,59.28,563.0,0.0
101,59.80,576.0,0.0
102,60.28,592.0,0.0
103,60.78,611.0,0.0
104,61.27,628.0,0.0
105,61.78,645.0,0.0
106,62.25,672.0,100000.0
107,64.20,1229.0,100000.0
108,64.75,1233.0,0.0
109,65.23,1326.0,0.0
110,67.67,2062.0,0.0
111,68.25,2036.0,0.0
112,68.81,2010.0,0.0
113,69.39,1824.0,0.0
114,72.48,1770.0,0.0
115,73.03,1774.0,0.0
116,73.59,1781.0,0.0
117,74.16,1787.0,0.0
118,74.72,1802.0,0.0
119,75.28,1800.0,0.0
120,75.88,1680.0,0.0
121,76.44,1677.0,0.0
122,77.00,1675.0,0.0
123,77.56,1672.0,0.0
124,78.13,1671.0,0.0
125,78.69,1667.0,0.0
126,79.23,1666.0,0.0
127,79.80,1665.0,0.0
128,80.36,1661.0,0.0
129,80.92,1662.0,0.0
130,81.48,1659.0,0.0
131,82.03,1659.0,0.0
132,82.59,1658.0,0.0
133,83.17,1655.0,0.0
134,83.73,1654.0,0.0
135,84.28,1658.0,0.0
136,87.08,1658.0,0.0
137,87.64,1658.0,0.0
138,88.19,1659.0,0.0
139,88.75,1658.0,0.0
140,89.31,1658.0,0.0
141,89.88,1659.0,0.0
142,90.44,1661.0,0.0
143,91.00,1663.0,0.0
144,91.55,1663.0,0.0
145,92.11,1665.0,0.0
146,92.67,1667.0,0.0
147,93.28,1588.0,0.0
148,93.88,1508.0,0.0
149,94.36,1669.0,0.0
150,94.94,1672.0,0.0
151,95.48,1679.0,0.0
152,96.05,1682.0,0.0
153,96.61,1685.0,0.0
154,97.16,1689.0,0.0
155,97.72,1692.0,0.0
156,98.27,1695.0,0.0
157,98.81,1700.0,0.0
158,99.38,1705.0,0.0
159,99.94,1710.0,0.0
160,100.48,1708.0,0.0
161,101.05,1711.0,0.0
162,101.61,1716.0,0.0
163,102.17,1721.0,0.0
164,102.70,1730.0,0.0
165,103.27,1736.0,0.0
166,103.83,1737.0,0.0
167,104.38,1743.0,0.0
168,104.94,1750.0,0.0
169,105.50,1757.0,0.0
170,106.05,1759.0,0.0
171,106.59,1774.0,0.0
172,107.16,1777.0,0.0
173,107.70,1780.0,0.0
174,108.27,1788.0,0.0
175,108.83,1797.0,0.0
176,109.39,1807.0,0.0
177,109.92,1816.0,0.0
178,110.48,1825.0,0.0
179,111.05,1825.0,0.0
180,111.59,1842.0,0.0
181,112.16,1818.0,0.0
182,112.72,1841.0,0.0
183,113.25,1864.0,0.0
