index(622),angle,range,intensity
0,0.44,1748.0,0.0
1,0.97,1819.0,0.0
2,1.55,1799.0,0.0
3,2.11,1785.0,0.0
4,2.70,1771.0,0.0
5,3.25,1775.0,0.0
6,3.81,1778.0,0.0
7,5.48,1775.0,0.0
8,6.05,1775.0,0.0
9,6.61,1773.0,0.0
10,7.16,1779.0,0.0
11,7.72,1778.0,0.0
12,8.28,1777.0,0.0
13,8.86,1764.0,0.0
14,9.39,1782.0,0.0
15,9.95,1791.0,0.0
16,10.52,1792.0,0.0
17,11.08,1793.0,0.0
18,11.63,1795.0,0.0
19,12.19,1805.0,0.0
20,12.75,1802.0,0.0
21,13.31,1805.0,0.0
22,13.86,1807.0,0.0
23,14.41,1811.0,0.0
24,14.97,1822.0,0.0
25,15.53,1825.0,0.0
26,16.08,1828.0,0.0
27,16.64,1831.0,0.0
28,17.20,1838.0,0.0
29,17.77,1841.0,0.0
30,18.31,1845.0,0.0
31,18.86,1852.0,0.0
32,19.42,1859.0,0.0
33,19.98,1866.0,0.0
34,20.53,1870.0,0.0
35,21.11,1841.0,0.0
36,21.67,1847.0,0.0
37,22.22,1853.0,0.0
38,22.77,1866.0,0.0
39,23.33,1874.0,0.0
40,23.89,1881.0,0.0
41,24.45,1889.0,0.0
42,25.02,1898.0,0.0
43,25.56,1903.0,0.0
44,26.13,1919.0,0.0
45,26.67,1928.0,0.0
46,27.23,1935.0,0.0
47,27.78,1942.0,0.0
48,28.33,1948.0,0.0
49,28.88,1962.0,0.0
50,29.44,1970.0,0.0
51,29.98,1982.0,0.0
52,30.53,1994.0,0.0
53,31.08,1998.0,0.0
54,31.64,2005.0,0.0
55,32.20,2019.0,0.0
56,32.75,2031.0,0.0
57,33.31,2044.0,0.0
58,33.84,2053.0,0.0
59,34.39,2102.0,0.0
60,34.94,2112.0,0.0
61,35.50,2127.0,0.0
62,36.05,2141.0,0.0
63,36.61,2156.0,0.0
64,37.14,2163.0,0.0
65,37.70,2181.0,0.0
66,38.25,2197.0,0.0
67,38.81,2212.0,0.0
68,39.36,2219.0,0.0
69,39.91,2235.0,0.0
70,40.47,2255.0,0.0
71,41.02,2278.0,0.0
72,41.56,2301.0,0.0
73,42.11,2334.0,0.0
74,42.67,2347.0,0.0
75,43.20,2368.0,0.0
76,43.77,2394.0,0.0
77,44.31,2420.0,0.0
78,44.86,2465.0,0.0
79,45.41,2499.0,0.0
80,45.97,2456.0,0.0
81,46.53,2436.0,0.0
