index(600),angle,range,intensity
0,0.50,371.0,0.0
1,1.11,366.0,0.0
2,1.72,361.0,0.0
3,2.33,356.0,0.0
4,2.92,352.0,0.0
5,3.53,348.0,0.0
6,4.14,344.0,0.0
7,4.73,340.0,0.0
8,5.38,335.0,0.0
9,6.00,328.0,0.0
10,6.63,322.0,0.0
11,7.27,316.0,0.0
12,7.88,312.0,0.0
13,8.50,308.0,0.0
14,9.08,306.0,0.0
15,9.67,304.0,0.0
16,10.27,302.0,0.0
17,10.84,301.0,0.0
18,11.41,299.0,0.0
19,11.97,299.0,0.0
20,12.53,299.0,0.0
21,13.11,298.0,0.0
22,13.66,299.0,0.0
23,14.22,299.0,0.0
24,14.78,299.0,0.0
25,15.34,300.0,0.0
26,15.89,301.0,0.0
27,16.42,303.0,0.0
28,16.95,304.0,0.0
29,17.50,305.0,0.0
30,18.05,307.0,0.0
31,18.59,308.0,0.0
32,19.13,310.0,0.0
33,19.66,312.0,0.0
34,20.19,315.0,0.0
35,20.72,317.0,0.0
36,21.28,318.0,0.0
37,21.80,321.0,0.0
38,22.31,324.0,0.0
39,22.84,326.0,0.0
40,23.38,329.0,0.0
41,23.92,331.0,0.0
42,24.44,335.0,0.0
43,24.94,340.0,0.0
44,25.47,344.0,0.0
45,25.97,349.0,0.0
46,26.50,353.0,0.0
47,27.02,358.0,0.0
48,27.48,362.0,0.0
49,28.00,365.0,0.0
50,28.55,368.0,0.0
51,29.08,370.0,0.0
52,29.64,371.0,0.0
53,30.19,373.0,0.0
54,30.73,373.0,0.0
55,31.28,374.0,0.0
56,31.83,376.0,0.0
57,32.41,375.0,0.0
58,32.97,375.0,0.0
59,33.52,376.0,0.0
60,34.06,376.0,0.0
61,34.64,375.0,0.0
62,35.20,375.0,0.0
63,35.77,374.0,0.0
64,36.33,374.0,0.0
65,36.88,374.0,0.0
66,37.44,374.0,0.0
67,38.00,375.0,0.0
68,38.56,375.0,0.0
69,39.13,375.0,0.0
70,39.66,377.0,0.0
71,40.19,379.0,0.0
72,40.72,383.0,0.0
73,41.25,387.0,100000.0
74,43.39,487.0,100000.0
75,43.97,484.0,0.0
76,44.56,478.0,0.0
