index(611),angle,range,intensity
0,0.09,796.0,0.0
1,0.67,787.0,0.0
2,1.28,768.0,0.0
3,1.83,771.0,0.0
4,2.39,772.0,0.0
5,2.95,774.0,0.0
6,3.55,775.0,0.0
7,4.08,778.0,0.0
8,4.64,781.0,0.0
9,5.19,784.0,0.0
10,5.73,786.0,0.0
11,6.30,789.0,0.0
12,6.86,791.0,0.0
13,7.41,793.0,0.0
14,7.95,796.0,0.0
15,8.50,800.0,0.0
16,9.06,803.0,0.0
17,9.61,806.0,0.0
18,10.16,810.0,0.0
19,10.72,813.0,0.0
20,11.28,816.0,0.0
21,11.81,820.0,0.0
22,12.38,823.0,0.0
23,12.92,826.0,0.0
24,13.47,829.0,0.0
25,14.03,832.0,0.0
26,14.58,836.0,0.0
27,15.14,839.0,0.0
28,15.67,843.0,0.0
29,16.23,845.0,0.0
30,16.80,847.0,0.0
31,17.33,852.0,0.0
32,17.89,853.0,0.0
33,18.45,858.0,0.0
34,19.00,861.0,0.0
35,19.55,865.0,0.0
36,20.11,869.0,0.0
37,20.66,874.0,0.0
38,21.23,860.0,0.0
39,21.81,850.0,0.0
40,22.39,841.0,0.0
41,22.98,821.0,0.0
42,23.56,802.0,0.0
43,24.16,785.0,0.0
44,24.75,770.0,0.0
45,25.34,755.0,0.0
46,25.91,739.0,0.0
47,26.47,727.0,0.0
48,27.05,713.0,0.0
49,27.64,702.0,0.0
50,28.22,691.0,0.0
51,28.81,679.0,0.0
52,29.39,669.0,0.0
53,29.97,660.0,0.0
54,30.55,650.0,0.0
55,31.13,641.0,0.0
56,31.72,631.0,0.0
57,32.28,624.0,0.0
58,32.88,616.0,0.0
59,33.44,609.0,0.0
60,34.03,602.0,0.0
61,34.61,594.0,0.0
62,35.17,587.0,0.0
63,35.75,582.0,0.0
64,36.33,576.0,0.0
65,36.92,569.0,0.0
66,37.48,564.0,0.0
67,38.06,558.0,0.0
68,38.63,554.0,0.0
69,39.22,548.0,0.0
70,39.78,543.0,0.0
71,40.36,538.0,0.0
72,40.94,534.0,0.0
73,41.50,528.0,0.0
74,42.08,524.0,0.0
75,42.66,520.0,0.0
76,43.23,516.0,0.0
77,43.80,513.0,0.0
78,44.36,509.0,0.0
79,44.94,506.0,0.0
80,45.50,502.0,0.0
81,46.08,498.0,0.0
82,46.64,496.0,0.0
83,47.22,493.0,0.0
84,47.78,491.0,0.0
85,48.36,488.0,0.0
86,48.95,485.0,0.0
87,49.52,482.0,0.0
88,50.08,480.0,0.0
89,50.72,467.0,0.0
90,51.34,454.0,0.0
91,51.80,472.0,0.0
92,54.03,471.0,0.0
93,54.70,451.0,0.0
94,55.28,448.0,0.0
95,55.88,444.0,0.0
96,56.44,440.0,0.0
97,57.03,437.0,0.0
98,57.61,434.0,0.0
99,58.17,431.0,0.0
100,58.77,427.0,0.0
101,59.34,425.0,0.0
102,59.91,423.0,0.0
103,60.48,419.0,0.0
104,61.08,416.0,0.0
105,61.64,414.0,0.0
106,62.22,412.0,0.0
107,62.80,409.0,0.0
108,63.36,407.0,0.0
109,63.92,406.0,0.0
110,64.50,404.0,0.0
111,65.06,402.0,0.0
112,65.64,400.0,0.0
113,66.22,399.0,0.0
114,66.78,397.0,0.0
115,67.36,395.0,0.0
116,67.92,394.0,0.0
117,68.48,392.0,0.0
118,69.06,391.0,0.0
119,69.64,389.0,0.0
120,70.20,388.0,0.0
121,70.77,387.0,0.0
122,71.34,385.0,0.0
123,71.92,385.0,0.0
124,72.48,383.0,0.0
125,73.06,382.0,0.0
126,73.61,381.0,0.0
127,74.19,380.0,0.0
128,74.75,379.0,0.0
129,75.30,379.0,0.0
130,75.88,378.0,0.0
131,76.44,377.0,0.0
132,76.98,377.0,0.0
133,77.56,376.0,0.0
134,78.14,375.0,0.0
135,78.69,375.0,0.0
136,79.25,374.0,0.0
137,79.80,374.0,0.0
138,80.38,373.0,0.0
139,80.94,373.0,0.0
140,81.48,373.0,0.0
141,82.05,373.0,0.0
142,82.61,372.0,0.0
143,83.16,372.0,0.0
144,83.72,372.0,0.0
145,84.28,372.0,0.0
146,84.83,372.0,0.0
147,85.39,372.0,0.0
148,85.95,372.0,0.0
149,86.52,371.0,0.0
150,87.06,372.0,0.0
151,87.61,372.0,0.0
152,88.17,372.0,0.0
153,88.72,374.0,0.0
154,89.28,373.0,0.0
155,89.84,373.0,0.0
156,90.41,373.0,0.0
157,90.94,374.0,0.0
158,91.50,374.0,0.0
159,92.06,375.0,0.0
160,92.61,375.0,0.0
161,93.16,376.0,0.0
162,93.72,376.0,0.0
163,94.28,377.0,0.0
164,94.83,378.0,0.0
165,95.38,379.0,0.0
166,95.94,380.0,0.0
167,96.47,381.0,0.0
168,97.03,381.0,0.0
169,97.59,382.0,0.0
170,98.14,383.0,0.0
171,98.69,384.0,0.0
172,99.23,385.0,0.0
173,99.78,387.0,0.0
174,100.34,387.0,0.0
175,100.88,389.0,0.0
176,101.42,390.0,0.0
177,101.98,391.0,0.0
178,102.53,393.0,0.0
179,103.08,393.0,0.0
180,103.63,395.0,0.0
181,104.17,397.0,0.0
182,104.72,398.0,0.0
183,105.25,401.0,0.0
184,105.81,401.0,0.0
185,106.34,404.0,0.0
186,106.89,406.0,0.0
187,107.44,407.0,0.0
188,107.98,409.0,0.0
189,108.53,412.0,0.0
190,109.08,414.0,0.0
191,109.61,416.0,0.0
192,110.16,418.0,0.0
193,110.69,421.0,0.0
194,111.25,423.0,0.0
195,111.78,425.0,0.0
196,112.31,428.0,0.0
197,112.88,430.0,0.0
198,113.41,433.0,0.0
199,113.94,436.0,0.0
200,114.48,439.0,0.0
201,115.02,443.0,0.0
202,115.56,446.0,0.0
203,116.06,449.0,0.0
204,116.58,453.0,0.0
205,117.13,456.0,0.0
206,117.67,460.0,0.0
207,118.19,464.0,0.0
208,118.73,468.0,0.0
209,119.27,473.0,0.0
210,119.80,477.0,0.0
211,120.33,482.0,0.0
212,120.86,487.0,0.0
213,121.39,492.0,0.0
214,121.91,498.0,0.0
215,123.86,564.0,0.0
216,124.44,559.0,0.0
217,125.03,552.0,0.0
218,125.59,547.0,0.0
219,126.19,541.0,0.0
220,126.77,535.0,0.0
221,127.38,526.0,0.0
222,127.89,531.0,0.0
223,128.44,535.0,0.0
224,128.98,539.0,0.0
225,129.52,543.0,0.0
226,130.06,548.0,0.0
227,130.59,554.0,0.0
228,131.14,559.0,0.0
229,131.67,564.0,0.0
230,132.20,571.0,0.0
231,132.75,576.0,0.0
232,133.27,583.0,0.0
233,133.81,590.0,0.0
234,134.34,597.0,0.0
235,134.89,602.0,0.0
236,135.41,611.0,0.0
237,135.95,618.0,0.0
238,136.48,626.0,0.0
239,137.02,634.0,0.0
240,137.58,641.0,0.0
241,138.09,649.0,0.0
242,138.64,659.0,0.0
243,139.17,668.0,0.0
244,139.69,677.0,0.0
245,140.23,687.0,0.0
246,140.77,698.0,0.0
247,141.28,709.0,0.0
248,141.81,721.0,0.0
249,142.34,733.0,0.0
