index(575),angle,range,intensity
0,0.09,448.0,0.0
1,0.67,446.0,0.0
2,1.22,445.0,0.0
3,1.80,443.0,0.0
4,2.38,441.0,0.0
5,2.94,439.0,0.0
6,3.52,437.0,0.0
7,4.08,435.0,0.0
8,4.61,434.0,0.0
9,5.17,432.0,0.0
10,5.73,431.0,0.0
11,6.31,429.0,0.0
12,6.88,428.0,0.0
13,7.45,426.0,0.0
14,8.02,425.0,0.0
15,8.58,425.0,0.0
16,9.16,423.0,0.0
17,9.72,422.0,0.0
18,10.28,421.0,0.0
19,10.86,420.0,0.0
20,11.42,418.0,0.0
21,11.98,418.0,0.0
22,12.55,417.0,0.0
23,13.13,415.0,0.0
24,13.69,415.0,0.0
25,14.23,415.0,0.0
26,14.81,413.0,0.0
27,15.38,413.0,0.0
28,15.94,413.0,0.0
29,16.52,412.0,0.0
30,17.08,411.0,0.0
31,17.63,411.0,0.0
32,18.19,411.0,0.0
33,18.75,411.0,0.0
34,19.33,410.0,0.0
35,19.89,410.0,0.0
36,20.44,410.0,0.0
37,21.00,410.0,0.0
38,21.56,409.0,0.0
39,22.13,409.0,0.0
40,22.69,410.0,0.0
41,23.25,410.0,0.0
42,23.80,410.0,0.0
43,24.36,410.0,0.0
44,24.92,410.0,0.0
45,25.48,410.0,0.0
46,26.05,410.0,0.0
47,26.61,410.0,0.0
48,27.17,411.0,0.0
49,27.72,411.0,0.0
50,28.27,411.0,0.0
51,28.83,412.0,0.0
52,29.38,412.0,0.0
53,29.94,412.0,0.0
54,30.47,413.0,0.0
55,31.03,414.0,0.0
56,31.58,414.0,0.0
57,32.11,415.0,0.0
58,32.67,416.0,0.0
59,33.22,416.0,0.0
60,33.77,417.0,0.0
61,34.31,418.0,0.0
62,34.86,419.0,0.0
63,35.41,420.0,0.0
64,35.94,422.0,0.0
65,36.48,424.0,0.0
66,37.03,425.0,0.0
67,37.58,426.0,0.0
68,38.13,427.0,0.0
69,38.67,430.0,0.0
70,39.20,432.0,0.0
71,39.75,434.0,0.0
72,40.28,436.0,0.0
73,40.83,437.0,0.0
74,41.38,439.0,0.0
75,41.91,440.0,0.0
76,42.47,442.0,0.0
77,43.00,443.0,0.0
78,43.56,444.0,0.0
79,44.09,446.0,0.0
80,44.63,448.0,0.0
81,45.19,449.0,0.0
82,45.72,451.0,0.0
83,46.27,453.0,0.0
84,46.81,454.0,0.0
85,47.36,457.0,0.0
86,47.89,458.0,0.0
87,48.45,460.0,0.0
88,49.00,463.0,0.0
89,49.55,464.0,0.0
90,50.11,465.0,0.0
91,50.64,468.0,0.0
92,51.19,470.0,0.0
93,51.72,472.0,0.0
94,52.27,474.0,0.0
95,52.81,477.0,0.0
96,53.36,479.0,0.0
97,53.91,481.0,0.0
98,54.44,483.0,0.0
99,54.98,486.0,0.0
100,55.53,489.0,0.0
101,56.06,492.0,0.0
102,56.63,494.0,0.0
103,57.16,496.0,0.0
104,57.70,500.0,0.0
105,58.25,502.0,0.0
106,58.78,504.0,0.0
107,59.34,507.0,0.0
108,59.88,510.0,0.0
109,60.42,512.0,0.0
110,60.95,516.0,0.0
111,61.50,518.0,0.0
112,65.41,514.0,0.0
113,66.00,510.0,0.0
114,66.56,505.0,0.0
115,67.16,500.0,0.0
116,67.73,495.0,0.0
117,68.31,490.0,0.0
118,68.89,486.0,0.0
119,69.47,480.0,0.0
120,70.06,476.0,0.0
121,70.64,472.0,0.0
122,71.23,469.0,0.0
123,71.81,464.0,0.0
124,72.38,463.0,0.0
125,72.97,455.0,0.0
126,73.55,453.0,0.0
127,74.13,451.0,0.0
128,74.70,446.0,0.0
129,75.28,443.0,0.0
130,75.86,439.0,0.0
131,76.44,435.0,0.0
132,77.03,431.0,0.0
133,77.58,431.0,0.0
134,78.17,426.0,0.0
135,78.77,422.0,0.0
136,79.33,420.0,0.0
