index(600),angle,range,intensity
0,0.28,1294.0,0.0
1,0.83,1294.0,0.0
2,2.52,1319.0,0.0
3,3.06,1321.0,0.0
4,3.63,1321.0,0.0
5,4.17,1320.0,0.0
6,4.73,1320.0,0.0
7,5.28,1320.0,0.0
8,5.83,1324.0,0.0
9,6.38,1323.0,0.0
10,6.94,1326.0,0.0
11,7.48,1326.0,0.0
12,8.05,1327.0,0.0
13,8.59,1328.0,0.0
14,9.16,1327.0,0.0
15,9.72,1329.0,0.0
16,10.27,1332.0,0.0
17,10.83,1335.0,0.0
18,11.38,1338.0,0.0
19,11.94,1339.0,0.0
20,12.48,1341.0,0.0
21,13.05,1342.0,0.0
22,13.59,1343.0,0.0
23,14.16,1345.0,0.0
24,14.69,1346.0,0.0
25,15.25,1349.0,0.0
26,15.80,1355.0,0.0
27,16.36,1360.0,0.0
28,16.92,1368.0,0.0
29,17.45,1374.0,0.0
30,18.02,1382.0,0.0
31,18.56,1390.0,0.0
32,19.11,1397.0,0.0
33,19.66,1404.0,0.0
34,20.22,1413.0,0.0
35,20.77,1413.0,0.0
36,21.31,1425.0,0.0
37,21.86,1436.0,0.0
38,22.42,1437.0,0.0
39,22.95,1449.0,0.0
40,23.52,1461.0,0.0
41,24.08,1468.0,0.0
42,24.64,1475.0,0.0
43,25.19,1489.0,0.0
44,25.73,1499.0,0.0
45,27.98,1432.0,0.0
46,28.55,1412.0,0.0
47,29.13,1382.0,0.0
48,29.69,1360.0,0.0
49,30.25,1338.0,0.0
50,30.83,1320.0,0.0
51,31.38,1301.0,0.0
52,31.95,1280.0,0.0
53,32.52,1262.0,0.0
54,33.08,1245.0,0.0
55,33.66,1228.0,0.0
56,34.22,1215.0,0.0
57,34.77,1202.0,0.0
58,35.34,1187.0,0.0
59,35.91,1173.0,0.0
60,36.48,1158.0,0.0
61,37.05,1147.0,0.0
62,37.59,1134.0,0.0
63,38.17,1124.0,0.0
64,38.73,1113.0,0.0
65,39.30,1102.0,0.0
66,39.86,1095.0,0.0
67,40.42,1084.0,0.0
68,40.97,1088.0,0.0
69,41.52,1092.0,0.0
70,42.06,1094.0,0.0
71,42.61,1105.0,0.0
72,43.16,1116.0,0.0
73,43.70,1128.0,0.0
74,44.23,1141.0,0.0
75,44.77,1153.0,0.0
76,45.33,1164.0,0.0
77,45.86,1179.0,0.0
78,46.41,1197.0,0.0
79,46.97,1214.0,0.0
80,47.50,1232.0,0.0
81,50.06,1543.0,0.0
82,50.63,1535.0,0.0
83,51.19,1524.0,0.0
84,51.75,1522.0,0.0
85,52.30,1520.0,0.0
86,52.92,1410.0,0.0
87,53.47,1399.0,0.0
88,54.05,1389.0,0.0
89,54.59,1378.0,0.0
90,55.17,1368.0,0.0
91,55.72,1365.0,0.0
92,56.28,1353.0,0.0
93,56.84,1344.0,0.0
94,57.41,1338.0,0.0
95,57.95,1332.0,0.0
96,58.52,1325.0,0.0
97,59.08,1315.0,0.0
98,59.64,1311.0,0.0
99,60.19,1303.0,0.0
100,60.77,1294.0,0.0
101,61.31,1288.0,0.0
102,61.88,1280.0,0.0
103,62.44,1276.0,0.0
104,63.00,1270.0,0.0
105,63.55,1264.0,0.0
106,64.11,1260.0,0.0
107,64.67,1254.0,0.0
108,65.23,1249.0,0.0
109,65.78,1242.0,0.0
110,66.36,1236.0,0.0
111,66.91,1233.0,0.0
112,67.47,1229.0,0.0
113,68.02,1225.0,0.0
114,68.59,1220.0,0.0
115,69.11,1215.0,0.0
116,69.66,1212.0,0.0
117,70.22,1209.0,0.0
118,70.78,1203.0,0.0
