index(596),angle,range,intensity
0,0.33,1790.0,0.0
1,0.89,1792.0,0.0
2,1.44,1824.0,0.0
3,2.00,1850.0,0.0
4,2.58,1834.0,0.0
5,3.13,1818.0,0.0
6,3.69,1815.0,0.0
7,4.25,1816.0,0.0
8,4.81,1811.0,0.0
9,5.38,1812.0,0.0
10,5.94,1813.0,0.0
11,6.52,1809.0,0.0
12,7.06,1811.0,0.0
13,7.63,1812.0,0.0
14,8.19,1812.0,0.0
15,8.75,1812.0,0.0
16,9.31,1811.0,0.0
17,9.88,1811.0,0.0
18,10.44,1813.0,0.0
19,11.00,1813.0,0.0
20,11.56,1812.0,0.0
21,12.13,1824.0,0.0
22,12.69,1840.0,0.0
23,13.25,1825.0,0.0
24,13.80,1831.0,0.0
25,14.36,1837.0,0.0
26,14.92,1847.0,0.0
27,15.47,1852.0,0.0
28,16.03,1858.0,0.0
29,16.59,1865.0,0.0
30,17.16,1872.0,0.0
31,17.72,1884.0,0.0
32,18.28,1883.0,0.0
33,18.84,1886.0,0.0
34,19.41,1893.0,0.0
35,19.95,1899.0,0.0
36,20.52,1905.0,0.0
37,21.11,1846.0,0.0
38,21.69,1784.0,0.0
39,22.27,1731.0,0.0
40,22.86,1678.0,0.0
41,23.44,1633.0,0.0
42,24.02,1591.0,0.0
43,24.61,1552.0,0.0
44,25.16,1517.0,0.0
45,25.72,1482.0,0.0
46,26.30,1450.0,0.0
47,26.88,1422.0,0.0
48,27.44,1399.0,0.0
49,28.02,1369.0,0.0
50,28.61,1339.0,0.0
51,29.19,1304.0,0.0
52,29.75,1280.0,0.0
53,30.34,1253.0,0.0
54,30.92,1229.0,0.0
55,31.48,1204.0,0.0
56,32.08,1179.0,0.0
57,32.66,1155.0,0.0
58,33.25,1130.0,0.0
59,33.81,1113.0,0.0
60,34.39,1096.0,0.0
61,34.94,1101.0,0.0
62,35.48,1110.0,0.0
63,36.05,1114.0,0.0
64,36.59,1122.0,0.0
65,37.16,1130.0,0.0
66,37.69,1137.0,0.0
67,38.25,1143.0,0.0
68,38.81,1149.0,0.0
69,40.66,1788.0,0.0
70,41.19,1829.0,0.0
71,42.97,1577.0,0.0
72,43.53,1559.0,0.0
73,44.11,1540.0,0.0
74,44.69,1524.0,0.0
75,45.23,1508.0,0.0
76,45.81,1483.0,0.0
77,46.39,1470.0,0.0
78,48.67,1407.0,0.0
79,49.25,1391.0,0.0
80,49.81,1376.0,0.0
81,50.38,1363.0,0.0
82,50.94,1351.0,0.0
83,51.52,1338.0,100000.0
84,53.45,702.0,100000.0
85,54.03,696.0,0.0
86,54.61,690.0,0.0
87,55.19,684.0,0.0
88,55.77,677.0,0.0
89,56.33,672.0,0.0
90,56.91,666.0,0.0
91,57.48,660.0,0.0
92,58.06,656.0,0.0
93,58.63,650.0,0.0
94,59.20,645.0,0.0
95,59.78,640.0,0.0
96,60.36,635.0,0.0
97,60.92,629.0,0.0
98,61.50,626.0,0.0
99,62.08,622.0,0.0
100,62.66,618.0,0.0
101,63.22,614.0,0.0
102,63.78,610.0,0.0
103,64.36,606.0,0.0
104,64.92,604.0,0.0
105,65.50,600.0,0.0
106,66.06,596.0,0.0
107,66.64,593.0,0.0
108,67.22,589.0,0.0
109,67.80,586.0,0.0
110,68.34,583.0,0.0
111,68.92,581.0,0.0
112,69.48,578.0,0.0
113,70.06,575.0,0.0
114,70.64,572.0,0.0
115,71.22,571.0,0.0
116,71.77,570.0,0.0
117,72.30,578.0,0.0
118,72.83,588.0,0.0
119,73.47,566.0,0.0
120,74.03,564.0,0.0
121,74.59,562.0,0.0
122,75.17,558.0,0.0
123,75.75,557.0,0.0
124,76.30,555.0,0.0
125,76.88,553.0,0.0
126,77.44,552.0,0.0
127,78.00,550.0,0.0
128,78.58,548.0,0.0
129,79.13,546.0,0.0
130,79.70,544.0,0.0
131,80.27,542.0,0.0
132,80.83,542.0,0.0
133,81.39,541.0,0.0
134,81.95,539.0,0.0
135,82.53,538.0,0.0
136,83.09,537.0,0.0
137,83.64,536.0,0.0
138,84.20,535.0,0.0
139,84.78,534.0,0.0
140,85.34,533.0,0.0
141,85.91,532.0,0.0
142,86.45,532.0,0.0
143,87.02,531.0,0.0
144,87.59,530.0,0.0
145,88.16,529.0,0.0
146,88.70,528.0,0.0
147,89.28,526.0,0.0
148,89.83,528.0,0.0
149,90.41,527.0,0.0
150,90.95,527.0,0.0
151,91.52,527.0,0.0
152,92.08,526.0,0.0
153,92.64,527.0,0.0
154,93.20,527.0,0.0
155,93.78,527.0,0.0
156,94.33,528.0,0.0
157,94.91,527.0,0.0
158,95.47,527.0,0.0
159,96.03,527.0,0.0
160,96.58,528.0,0.0
161,97.14,528.0,0.0
162,97.70,528.0,0.0
163,98.27,529.0,0.0
164,98.83,530.0,0.0
165,99.38,531.0,0.0
166,99.94,532.0,0.0
167,100.50,532.0,0.0
168,101.06,533.0,0.0
169,101.63,533.0,0.0
170,102.19,534.0,0.0
171,102.73,535.0,0.0
172,103.30,536.0,0.0
173,103.86,537.0,0.0
174,104.42,538.0,0.0
175,104.98,539.0,0.0
176,105.55,541.0,0.0
177,106.09,542.0,0.0
178,106.66,544.0,0.0
179,110.22,503.0,0.0
180,110.84,489.0,0.0
181,111.48,476.0,0.0
182,112.13,462.0,0.0
183,112.77,449.0,0.0
184,113.41,437.0,0.0
185,114.03,427.0,0.0
186,114.67,416.0,0.0
187,115.30,407.0,0.0
188,115.94,396.0,0.0
189,116.59,387.0,0.0
190,117.19,378.0,0.0
191,117.81,369.0,0.0
192,118.45,361.0,0.0
193,119.09,353.0,0.0
194,119.72,346.0,0.0
195,120.36,339.0,0.0
196,121.00,332.0,0.0
197,121.63,326.0,0.0
198,122.27,319.0,0.0
199,122.91,313.0,0.0
200,123.55,307.0,0.0
201,124.17,302.0,0.0
202,124.81,296.0,0.0
203,125.45,291.0,0.0
204,126.09,286.0,0.0
205,127.98,272.0,0.0
206,128.61,268.0,0.0
207,129.27,263.0,0.0
208,131.17,251.0,0.0
209,131.86,245.0,0.0
210,133.86,230.0,0.0
211,134.50,227.0,0.0
212,135.11,225.0,0.0
213,135.75,222.0,0.0
214,136.36,220.0,0.0
215,137.00,217.0,0.0
216,137.61,215.0,0.0
217,138.25,212.0,0.0
218,138.84,211.0,0.0
219,139.48,208.0,0.0
220,140.11,206.0,0.0
221,140.73,204.0,0.0
222,141.36,202.0,0.0
223,141.95,201.0,0.0
224,142.59,199.0,0.0
225,143.22,197.0,0.0
226,143.81,196.0,0.0
227,144.44,194.0,0.0
228,145.05,192.0,0.0
229,145.69,190.0,0.0
230,146.28,189.0,0.0
231,146.88,188.0,0.0
232,147.50,186.0,0.0
233,148.13,184.0,0.0
234,148.73,183.0,0.0
235,149.33,182.0,0.0
236,149.91,181.0,0.0
237,150.55,179.0,0.0
238,151.16,178.0,0.0
239,151.75,177.0,0.0
240,152.34,176.0,0.0
241,152.95,175.0,0.0
242,153.55,174.0,0.0
243,154.16,173.0,0.0
244,154.75,172.0,0.0
245,155.34,171.0,0.0
246,155.95,170.0,0.0
247,156.56,169.0,0.0
248,157.16,168.0,0.0
249,157.72,168.0,0.0
250,158.31,167.0,0.0
251,158.92,166.0,0.0
252,159.52,165.0,0.0
253,160.08,165.0,0.0
254,160.69,164.0,0.0
255,161.30,163.0,0.0
256,161.89,162.0,0.0
257,162.45,162.0,0.0
258,163.06,161.0,0.0
259,163.67,160.0,0.0
260,164.22,160.0,0.0
261,164.78,160.0,0.0
262,165.41,159.0,0.0
263,165.97,159.0,0.0
