index(584),angle,range,intensity
0,0.23,1632.0,0.0
1,0.80,1632.0,0.0
2,1.36,1634.0,0.0
3,1.92,1632.0,0.0
4,2.50,1637.0,0.0
5,3.05,1638.0,0.0
6,3.61,1640.0,0.0
7,4.17,1643.0,0.0
8,4.72,1643.0,0.0
9,5.28,1643.0,0.0
10,5.83,1665.0,0.0
11,6.39,1686.0,0.0
12,6.94,1692.0,0.0
13,7.48,1694.0,0.0
14,8.05,1694.0,0.0
15,8.61,1698.0,0.0
16,9.16,1703.0,0.0
17,9.72,1705.0,0.0
18,10.28,1710.0,0.0
19,10.84,1713.0,0.0
20,11.39,1718.0,0.0
21,11.95,1724.0,0.0
22,12.52,1725.0,0.0
23,13.06,1731.0,0.0
24,13.61,1735.0,0.0
25,14.17,1740.0,0.0
26,14.73,1745.0,0.0
27,15.30,1747.0,0.0
28,15.84,1758.0,0.0
29,16.41,1761.0,0.0
30,16.95,1772.0,0.0
31,17.52,1783.0,0.0
32,18.06,1791.0,0.0
33,18.63,1805.0,0.0
34,19.17,1812.0,0.0
35,19.73,1826.0,0.0
36,20.28,1840.0,0.0
37,20.84,1850.0,0.0
38,21.39,1867.0,0.0
39,21.95,1872.0,0.0
40,22.50,1885.0,0.0
41,23.05,1899.0,0.0
42,23.61,1916.0,0.0
43,24.17,1926.0,0.0
44,24.75,1897.0,0.0
45,25.31,1866.0,0.0
46,25.88,1835.0,0.0
47,26.45,1807.0,0.0
48,27.00,1778.0,0.0
49,27.58,1750.0,0.0
50,28.14,1726.0,0.0
51,28.70,1702.0,0.0
52,29.27,1683.0,0.0
53,29.81,1657.0,0.0
54,30.39,1638.0,0.0
55,30.95,1618.0,0.0
56,31.52,1599.0,0.0
57,32.08,1582.0,0.0
58,32.64,1563.0,0.0
59,33.20,1553.0,0.0
60,33.75,1539.0,0.0
61,34.33,1525.0,0.0
62,34.88,1513.0,0.0
63,35.45,1494.0,0.0
64,35.98,1507.0,0.0
65,36.55,1518.0,0.0
66,37.08,1529.0,0.0
67,37.64,1547.0,0.0
68,38.17,1560.0,0.0
69,38.72,1580.0,0.0
70,39.27,1598.0,0.0
71,39.81,1616.0,0.0
72,40.36,1628.0,0.0
73,41.28,2211.0,0.0
74,41.81,2250.0,0.0
75,42.34,2288.0,0.0
76,42.92,2258.0,0.0
77,44.13,1937.0,0.0
78,46.91,1788.0,0.0
79,47.45,1774.0,0.0
80,48.03,1760.0,0.0
81,48.58,1745.0,0.0
82,49.14,1732.0,0.0
83,49.72,1724.0,0.0
84,50.27,1710.0,0.0
85,50.83,1696.0,0.0
86,51.41,1686.0,0.0
87,51.95,1677.0,0.0
88,52.52,1666.0,0.0
89,53.09,1655.0,0.0
90,53.64,1644.0,0.0
91,54.20,1643.0,0.0
92,54.75,1629.0,0.0
93,55.33,1619.0,0.0
94,55.89,1610.0,0.0
95,56.44,1602.0,0.0
96,57.00,1596.0,0.0
97,57.58,1587.0,0.0
98,58.13,1581.0,0.0
99,58.69,1576.0,0.0
100,59.25,1571.0,0.0
101,59.86,1446.0,0.0
102,60.38,1552.0,0.0
103,60.94,1545.0,0.0
104,61.48,1538.0,0.0
105,62.05,1532.0,0.0
106,62.61,1524.0,0.0
107,63.17,1522.0,0.0
108,63.73,1513.0,0.0
109,64.28,1507.0,0.0
110,64.84,1501.0,0.0
111,65.42,1499.0,0.0
112,65.97,1492.0,0.0
113,68.03,1014.0,0.0
114,68.59,1010.0,0.0
115,69.16,1007.0,0.0
