index(608),angle,range,intensity
0,0.25,1080.0,0.0
1,0.81,1081.0,0.0
2,1.38,1082.0,0.0
3,1.94,1083.0,0.0
4,2.50,1081.0,0.0
5,3.09,1080.0,0.0
6,3.64,1080.0,0.0
7,4.20,1081.0,0.0
8,4.75,1081.0,0.0
9,5.31,1082.0,0.0
10,5.88,1082.0,0.0
11,6.42,1081.0,0.0
12,6.98,1083.0,0.0
13,7.53,1083.0,0.0
14,8.09,1084.0,0.0
15,8.66,1084.0,0.0
16,9.20,1085.0,0.0
17,9.77,1085.0,0.0
18,10.33,1085.0,0.0
19,10.86,1088.0,0.0
20,11.42,1088.0,0.0
21,11.97,1089.0,0.0
22,12.53,1091.0,0.0
23,13.09,1093.0,0.0
24,13.64,1095.0,0.0
25,14.19,1111.0,0.0
26,14.72,1127.0,0.0
27,15.28,1129.0,0.0
28,15.84,1129.0,0.0
29,16.39,1131.0,0.0
30,16.95,1132.0,0.0
31,17.52,1132.0,0.0
32,18.06,1132.0,0.0
33,18.61,1135.0,0.0
34,19.16,1136.0,0.0
35,19.72,1138.0,0.0
36,20.28,1140.0,0.0
37,20.83,1140.0,0.0
38,21.39,1143.0,0.0
39,21.94,1145.0,0.0
40,22.50,1147.0,0.0
41,23.06,1149.0,0.0
42,23.59,1150.0,0.0
43,24.16,1154.0,0.0
44,24.72,1157.0,0.0
45,25.30,1160.0,0.0
46,25.84,1162.0,0.0
47,26.41,1166.0,0.0
48,26.94,1169.0,0.0
49,27.50,1172.0,0.0
50,28.05,1174.0,0.0
51,28.61,1177.0,0.0
52,29.17,1179.0,0.0
53,29.70,1186.0,0.0
54,30.27,1195.0,0.0
55,30.80,1209.0,0.0
56,31.34,1224.0,0.0
57,31.91,1226.0,0.0
58,32.44,1242.0,0.0
59,33.00,1256.0,0.0
60,33.53,1266.0,0.0
61,34.09,1275.0,0.0
62,34.64,1295.0,0.0
63,35.17,1310.0,0.0
64,35.73,1315.0,0.0
65,36.27,1333.0,0.0
66,36.81,1352.0,0.0
67,37.36,1354.0,0.0
68,37.91,1383.0,0.0
69,38.45,1395.0,0.0
70,38.97,1449.0,0.0
