index(601),angle,range,intensity
0,0.44,372.0,0.0
1,0.98,374.0,0.0
2,1.53,376.0,0.0
3,3.95,423.0,100000.0
4,5.59,360.0,100000.0
5,6.16,360.0,0.0
6,6.70,360.0,0.0
7,7.27,361.0,0.0
8,7.83,361.0,0.0
9,8.36,362.0,0.0
10,8.92,362.0,0.0
11,9.48,363.0,0.0
12,10.03,363.0,0.0
13,10.59,363.0,0.0
14,11.13,365.0,0.0
15,11.67,365.0,0.0
16,12.23,366.0,0.0
17,12.78,366.0,0.0
18,13.33,367.0,0.0
19,13.89,368.0,0.0
20,14.42,369.0,0.0
21,14.97,370.0,0.0
22,15.53,371.0,0.0
23,16.06,372.0,0.0
24,16.63,373.0,0.0
25,17.17,374.0,0.0
26,17.72,375.0,0.0
27,18.27,376.0,0.0
28,18.81,378.0,0.0
29,19.36,378.0,0.0
30,19.91,379.0,0.0
31,20.44,381.0,0.0
32,21.00,382.0,0.0
33,21.55,383.0,0.0
34,22.08,385.0,0.0
35,22.64,386.0,0.0
36,23.19,388.0,0.0
37,23.72,389.0,0.0
38,24.27,391.0,0.0
39,24.81,393.0,0.0
40,25.34,394.0,0.0
41,25.89,396.0,0.0
42,26.44,398.0,0.0
43,27.02,399.0,0.0
44,27.53,402.0,0.0
45,28.09,403.0,0.0
46,28.63,405.0,0.0
47,29.17,407.0,0.0
48,29.70,409.0,0.0
49,30.25,411.0,0.0
50,30.78,413.0,0.0
51,31.33,415.0,0.0
52,31.86,417.0,0.0
53,32.41,419.0,0.0
54,32.94,421.0,0.0
55,33.48,424.0,0.0
56,34.03,426.0,0.0
57,34.56,428.0,0.0
58,35.11,431.0,0.0
59,35.64,433.0,0.0
60,36.19,436.0,0.0
61,36.72,438.0,0.0
62,37.27,441.0,0.0
63,37.80,443.0,0.0
64,38.34,446.0,0.0
65,38.88,449.0,0.0
66,39.42,452.0,0.0
67,39.94,455.0,0.0
68,40.48,458.0,0.0
69,41.03,462.0,0.0
70,41.56,464.0,0.0
71,42.11,467.0,0.0
72,42.63,471.0,0.0
73,43.17,475.0,0.0
74,43.70,478.0,0.0
75,44.25,482.0,0.0
76,44.77,486.0,0.0
77,45.31,490.0,0.0
78,45.84,494.0,0.0
79,46.39,497.0,0.0
80,46.91,502.0,0.0
81,47.45,506.0,0.0
82,48.00,509.0,0.0
83,48.48,513.0,0.0
84,49.00,518.0,0.0
85,49.55,522.0,0.0
86,50.09,526.0,0.0
87,50.61,531.0,0.0
88,51.16,536.0,0.0
89,51.70,541.0,0.0
90,52.22,546.0,0.0
91,52.77,551.0,0.0
92,53.31,555.0,0.0
93,53.83,562.0,0.0
94,54.36,570.0,0.0
95,54.91,575.0,0.0
96,55.44,580.0,0.0
97,55.98,585.0,0.0
98,56.52,591.0,0.0
99,57.05,599.0,0.0
100,57.58,606.0,0.0
101,58.13,613.0,0.0
102,58.64,620.0,0.0
103,59.78,618.0,0.0
104,60.33,614.0,0.0
105,60.91,610.0,0.0
106,61.48,607.0,0.0
107,62.05,603.0,0.0
108,62.61,601.0,0.0
109,63.19,598.0,0.0
110,63.73,595.0,0.0
111,64.31,592.0,0.0
112,64.89,590.0,0.0
113,65.44,587.0,0.0
114,66.02,585.0,0.0
115,66.58,583.0,0.0
116,67.14,581.0,0.0
117,67.70,579.0,0.0
118,68.28,577.0,0.0
119,68.83,575.0,0.0
120,69.41,573.0,0.0
121,69.97,572.0,0.0
122,70.48,570.0,0.0
123,71.05,569.0,0.0
124,71.61,567.0,0.0
125,72.17,565.0,0.0
126,72.73,564.0,0.0
127,73.30,563.0,0.0
128,73.84,562.0,0.0
129,74.42,560.0,0.0
130,74.98,559.0,0.0
131,75.55,557.0,0.0
132,76.11,557.0,0.0
133,76.67,557.0,0.0
134,77.22,555.0,0.0
135,77.78,554.0,0.0
136,78.33,554.0,0.0
137,78.89,555.0,0.0
138,79.47,553.0,0.0
139,80.02,552.0,0.0
140,80.58,552.0,0.0
141,81.14,551.0,0.0
142,81.69,552.0,0.0
143,82.25,551.0,0.0
144,82.81,551.0,0.0
145,83.36,550.0,0.0
146,83.92,551.0,0.0
147,84.48,551.0,0.0
148,85.03,552.0,0.0
149,85.59,552.0,0.0
150,86.14,551.0,0.0
151,86.70,553.0,0.0
152,87.27,552.0,0.0
153,87.81,552.0,0.0
154,88.38,553.0,0.0
155,88.94,553.0,0.0
156,89.47,554.0,0.0
157,90.03,555.0,0.0
158,90.59,556.0,0.0
159,91.14,557.0,0.0
160,91.70,557.0,0.0
161,92.25,559.0,0.0
162,92.83,559.0,0.0
163,93.38,560.0,0.0
164,93.94,561.0,0.0
165,94.48,563.0,0.0
166,95.05,564.0,0.0
167,95.59,566.0,0.0
168,96.16,567.0,0.0
169,96.70,569.0,0.0
170,97.25,571.0,0.0
171,97.81,572.0,0.0
