index(611),angle,range,intensity
226,123.72,2262.0,0.0
227,124.28,2265.0,0.0
228,124.81,2287.0,0.0
229,125.37,2302.0,0.0
230,125.94,2319.0,0.0
231,126.48,2335.0,0.0
232,127.05,2338.0,0.0
233,127.59,2356.0,0.0
234,128.16,2364.0,0.0
235,128.70,2422.0,0.0
236,129.25,2481.0,0.0
237,129.83,2414.0,0.0
238,130.36,2434.0,0.0
239,130.92,2446.0,0.0
240,131.48,2461.0,0.0
241,132.03,2477.0,0.0
242,132.58,2505.0,0.0
243,133.14,2518.0,0.0
244,133.69,2536.0,0.0
245,134.25,2559.0,0.0
246,134.80,2582.0,0.0
247,135.36,2607.0,0.0
248,135.88,2619.0,0.0
249,136.42,2651.0,0.0
250,138.00,3350.0,0.0
251,138.58,3164.0,0.0
252,139.16,3067.0,0.0
253,139.70,2982.0,0.0
254,140.28,2898.0,0.0
255,140.84,2877.0,0.0
256,141.38,3020.0,0.0
257,142.98,3645.0,100000.0
258,144.72,1295.0,100000.0
259,145.28,1265.0,0.0
260,145.84,1266.0,0.0
261,146.41,1267.0,0.0
262,146.97,1259.0,0.0
263,147.53,1250.0,0.0
264,148.09,1242.0,0.0
265,148.64,1246.0,0.0
266,149.20,1249.0,0.0
267,149.75,1265.0,0.0
268,150.28,1283.0,0.0
269,150.84,1296.0,0.0
270,151.39,1315.0,0.0
271,151.92,1333.0,0.0
272,152.47,1355.0,0.0
273,153.02,1376.0,0.0
274,153.55,1401.0,0.0
275,157.39,1503.0,0.0
276,157.97,1499.0,0.0
277,158.48,1492.0,0.0
278,159.03,1484.0,0.0
279,159.59,1478.0,0.0
280,160.14,1472.0,0.0
281,160.72,1466.0,0.0
282,161.27,1460.0,0.0
283,161.83,1454.0,0.0
284,162.38,1448.0,0.0
285,162.95,1443.0,0.0
286,163.50,1437.0,0.0
287,164.06,1430.0,0.0
288,164.61,1425.0,0.0
289,165.17,1423.0,0.0
290,165.72,1422.0,0.0
291,166.27,1453.0,0.0
292,166.80,1490.0,100000.0
293,168.45,4582.0,100000.0
294,169.02,4580.0,0.0
295,169.56,4566.0,0.0
296,171.23,4515.0,0.0
297,171.78,4531.0,0.0
298,174.05,4015.0,0.0
299,174.61,4023.0,0.0
300,175.16,4010.0,0.0
301,175.72,4011.0,0.0
302,176.27,4012.0,0.0
303,177.36,4160.0,0.0
304,177.91,4327.0,0.0
305,178.44,4522.0,0.0
306,179.00,4716.0,100000.0
307,180.83,1290.0,100000.0
308,181.38,1291.0,0.0
309,181.94,1292.0,0.0
310,182.48,1293.0,0.0
311,183.05,1289.0,0.0
312,183.61,1291.0,0.0
313,184.16,1289.0,0.0
314,184.72,1290.0,0.0
315,185.27,1290.0,0.0
316,185.83,1287.0,0.0
317,186.39,1291.0,0.0
318,186.94,1287.0,0.0
319,187.50,1289.0,0.0
320,188.06,1290.0,0.0
321,188.61,1296.0,0.0
322,189.17,1295.0,0.0
323,189.72,1293.0,0.0
324,190.28,1295.0,0.0
325,190.84,1297.0,0.0
326,191.36,1328.0,0.0
327,192.00,1235.0,0.0
328,192.61,1165.0,0.0
329,193.20,1117.0,0.0
330,193.83,1068.0,0.0
