index(607),angle,range,intensity
0,0.28,289.0,0.0
1,0.84,289.0,0.0
2,1.39,290.0,0.0
3,1.95,290.0,0.0
4,2.52,290.0,0.0
5,3.06,291.0,0.0
6,3.63,291.0,0.0
7,4.17,292.0,0.0
8,4.73,292.0,0.0
9,5.30,292.0,0.0
10,5.86,293.0,0.0
11,6.39,294.0,0.0
12,6.94,295.0,0.0
13,7.47,296.0,0.0
14,8.03,296.0,0.0
15,8.59,296.0,0.0
16,9.13,297.0,0.0
17,9.69,297.0,0.0
18,10.23,297.0,0.0
19,10.77,300.0,0.0
20,11.33,300.0,0.0
21,11.86,301.0,0.0
22,12.39,303.0,0.0
23,12.92,305.0,0.0
24,13.48,304.0,0.0
25,14.05,304.0,0.0
26,14.56,306.0,0.0
27,15.13,307.0,0.0
28,15.66,309.0,0.0
29,16.19,310.0,0.0
30,16.73,311.0,0.0
31,17.27,312.0,0.0
32,17.83,313.0,0.0
33,18.36,315.0,0.0
34,18.89,316.0,0.0
35,19.44,318.0,0.0
36,19.98,319.0,0.0
37,20.52,320.0,0.0
38,21.05,322.0,0.0
39,21.59,323.0,0.0
40,22.13,325.0,0.0
41,22.67,326.0,0.0
42,23.20,328.0,0.0
43,23.73,330.0,0.0
44,24.28,331.0,0.0
45,24.81,333.0,0.0
46,25.38,334.0,0.0
47,25.89,336.0,0.0
48,26.44,338.0,0.0
49,26.98,339.0,0.0
50,27.55,341.0,0.0
51,28.06,343.0,0.0
52,28.59,345.0,0.0
53,29.14,347.0,0.0
54,29.66,349.0,0.0
55,30.20,351.0,0.0
56,30.73,353.0,0.0
57,31.27,355.0,0.0
58,31.80,357.0,0.0
59,32.31,360.0,0.0
60,32.86,362.0,0.0
61,33.39,364.0,0.0
62,33.91,367.0,0.0
63,34.45,369.0,0.0
64,34.97,372.0,0.0
65,35.52,375.0,0.0
66,36.03,377.0,0.0
67,36.56,380.0,0.0
68,37.09,383.0,0.0
69,37.63,386.0,0.0
70,38.14,390.0,0.0
71,38.67,393.0,0.0
72,39.20,396.0,0.0
73,39.73,399.0,0.0
74,40.25,402.0,0.0
75,40.78,406.0,0.0
76,41.31,410.0,0.0
77,41.83,415.0,0.0
78,42.34,419.0,100000.0
79,43.14,469.0,100000.0
80,43.67,473.0,0.0
81,44.20,478.0,0.0
82,44.72,483.0,0.0
83,45.23,489.0,0.0
84,45.78,493.0,0.0
85,46.30,498.0,0.0
86,46.83,504.0,0.0
87,47.36,509.0,0.0
88,47.89,515.0,0.0
89,48.38,522.0,0.0
90,48.89,528.0,0.0
91,49.44,534.0,0.0
92,49.97,541.0,0.0
93,50.48,547.0,0.0
94,51.02,554.0,0.0
95,51.56,561.0,0.0
96,52.08,569.0,0.0
97,52.61,577.0,0.0
98,53.14,586.0,0.0
99,53.66,594.0,0.0
100,54.19,603.0,0.0
101,54.72,612.0,0.0
102,55.23,621.0,0.0
103,55.77,629.0,0.0
104,56.30,639.0,0.0
105,56.81,649.0,0.0
106,57.36,659.0,0.0
107,57.89,669.0,0.0
108,58.41,678.0,0.0
109,58.95,688.0,0.0
110,59.48,697.0,0.0
111,59.97,723.0,0.0
112,60.47,749.0,0.0
113,61.48,799.0,0.0
114,61.98,825.0,0.0
115,62.50,852.0,0.0
116,63.00,880.0,0.0
117,63.52,918.0,0.0
118,65.66,988.0,0.0
119,66.20,989.0,0.0
120,66.77,985.0,0.0
121,67.33,980.0,0.0
122,67.89,977.0,0.0
123,68.45,975.0,0.0
124,69.02,971.0,0.0
125,69.53,968.0,0.0
126,70.09,965.0,0.0
127,70.66,963.0,0.0
128,71.20,962.0,0.0
129,71.77,959.0,0.0
130,72.33,957.0,0.0
131,72.88,955.0,0.0
132,73.45,954.0,0.0
133,74.02,953.0,0.0
134,74.56,950.0,0.0
135,75.13,947.0,0.0
136,75.69,949.0,0.0
137,76.23,947.0,0.0
138,76.80,944.0,0.0
139,77.34,944.0,0.0
140,77.91,944.0,0.0
141,78.48,942.0,0.0
142,79.03,941.0,0.0
143,79.59,941.0,0.0
144,80.16,940.0,0.0
145,80.70,939.0,0.0
146,81.27,940.0,0.0
147,81.83,940.0,0.0
148,82.38,940.0,0.0
149,82.94,941.0,0.0
150,83.50,941.0,0.0
151,84.05,941.0,0.0
152,84.61,941.0,0.0
153,85.16,941.0,0.0
154,85.70,944.0,0.0
155,86.27,944.0,0.0
156,86.81,945.0,0.0
157,87.38,946.0,0.0
158,87.94,947.0,0.0
159,88.48,948.0,0.0
160,89.05,950.0,0.0
161,89.61,952.0,0.0
162,90.16,953.0,0.0
163,90.72,954.0,0.0
164,91.27,958.0,0.0
165,91.84,959.0,0.0
166,92.39,961.0,0.0
167,92.95,964.0,0.0
168,93.50,966.0,0.0
169,94.06,969.0,0.0
170,94.63,972.0,0.0
171,95.19,975.0,0.0
172,95.72,978.0,0.0
173,96.28,981.0,0.0
174,96.81,1007.0,0.0
175,97.41,990.0,0.0
176,97.95,991.0,0.0
