index(589),angle,range,intensity
0,0.33,461.0,0.0
1,0.89,461.0,0.0
2,1.45,461.0,0.0
3,2.02,461.0,0.0
4,2.56,463.0,0.0
5,3.13,463.0,0.0
6,3.72,460.0,0.0
7,4.33,457.0,100000.0
8,4.69,489.0,100000.0
9,8.17,469.0,0.0
10,8.72,469.0,0.0
11,9.28,469.0,0.0
12,9.84,470.0,0.0
13,10.41,470.0,0.0
14,10.97,469.0,0.0
15,11.52,471.0,0.0
16,12.09,470.0,0.0
17,12.66,469.0,0.0
18,13.19,471.0,0.0
19,13.75,473.0,0.0
20,14.30,474.0,0.0
21,14.86,476.0,0.0
22,15.41,478.0,0.0
23,15.95,480.0,0.0
24,16.52,481.0,0.0
25,17.06,484.0,0.0
26,17.61,484.0,0.0
27,18.17,485.0,0.0
28,18.72,488.0,0.0
29,19.28,488.0,0.0
30,19.80,495.0,0.0
31,20.36,496.0,0.0
32,20.92,497.0,0.0
33,21.45,501.0,0.0
34,21.98,504.0,0.0
35,22.58,500.0,0.0
36,23.11,505.0,0.0
37,23.66,509.0,0.0
38,24.20,512.0,0.0
39,24.75,515.0,0.0
40,25.31,517.0,0.0
41,25.86,520.0,0.0
42,26.42,523.0,0.0
43,26.98,520.0,0.0
44,27.50,529.0,0.0
45,28.05,532.0,0.0
46,28.59,535.0,0.0
47,29.14,538.0,0.0
48,29.69,541.0,0.0
49,30.23,545.0,0.0
50,30.78,547.0,0.0
51,31.31,551.0,0.0
52,31.86,555.0,0.0
53,32.41,559.0,0.0
54,32.95,562.0,0.0
55,33.52,565.0,0.0
56,34.03,570.0,0.0
57,34.58,574.0,0.0
58,35.13,579.0,0.0
59,35.67,583.0,0.0
60,36.20,587.0,0.0
61,36.75,591.0,0.0
62,37.30,595.0,0.0
63,37.84,601.0,0.0
64,38.38,606.0,0.0
65,38.92,612.0,0.0
66,39.47,617.0,0.0
67,40.02,621.0,0.0
68,40.55,631.0,0.0
69,41.08,633.0,0.0
70,41.63,639.0,0.0
71,42.17,645.0,0.0
72,42.72,651.0,0.0
73,43.25,657.0,0.0
74,43.80,662.0,0.0
75,44.33,672.0,0.0
76,44.89,676.0,0.0
77,45.42,681.0,0.0
78,45.95,689.0,0.0
79,46.50,697.0,0.0
80,47.05,703.0,0.0
81,47.59,711.0,0.0
82,48.16,718.0,0.0
83,48.67,726.0,0.0
84,49.22,733.0,0.0
85,49.75,745.0,0.0
86,50.31,740.0,0.0
87,50.88,735.0,0.0
88,51.42,742.0,0.0
89,52.00,727.0,0.0
90,52.55,735.0,0.0
91,53.06,747.0,0.0
92,53.61,758.0,0.0
93,54.13,770.0,0.0
94,54.66,784.0,0.0
95,55.19,797.0,0.0
96,55.72,809.0,0.0
97,56.25,821.0,0.0
98,56.78,839.0,0.0
99,57.30,853.0,0.0
100,57.84,870.0,0.0
101,58.36,886.0,0.0
102,58.89,903.0,0.0
103,59.42,918.0,0.0
104,59.95,934.0,0.0
105,60.48,951.0,0.0
106,61.02,969.0,0.0
107,61.55,987.0,0.0
108,62.08,1006.0,0.0
109,62.61,1024.0,0.0
110,63.16,1042.0,0.0
111,63.67,1061.0,0.0
112,64.22,1080.0,0.0
113,64.75,1099.0,0.0
114,65.28,1122.0,0.0
115,65.81,1148.0,0.0
116,66.31,1214.0,0.0
117,66.80,1281.0,0.0
118,67.34,1312.0,0.0
119,67.88,1341.0,0.0
120,68.41,1371.0,0.0
121,68.95,1404.0,0.0
122,69.45,1437.0,0.0
123,69.98,1462.0,0.0
124,70.50,1555.0,0.0
125,71.00,1657.0,0.0
126,72.64,1765.0,0.0
127,73.20,1760.0,0.0
128,73.75,1760.0,0.0
129,74.31,1755.0,0.0
130,74.88,1750.0,0.0
131,75.42,1771.0,0.0
132,75.98,1742.0,0.0
133,76.55,1739.0,0.0
134,77.11,1737.0,0.0
135,77.67,1735.0,0.0
136,78.22,1731.0,0.0
137,78.80,1728.0,0.0
138,79.36,1728.0,0.0
139,79.92,1726.0,0.0
140,80.47,1725.0,0.0
141,81.03,1721.0,0.0
142,81.59,1719.0,0.0
143,82.16,1718.0,0.0
144,82.70,1717.0,0.0
145,83.27,1715.0,0.0
146,83.83,1717.0,0.0
147,84.39,1717.0,0.0
148,84.94,1721.0,0.0
149,85.50,1723.0,0.0
150,86.06,1725.0,0.0
151,86.63,1721.0,0.0
152,87.17,1727.0,0.0
153,87.73,1726.0,0.0
154,88.28,1732.0,0.0
155,88.84,1737.0,0.0
156,89.39,1735.0,0.0
157,89.95,1739.0,0.0
158,90.52,1743.0,0.0
159,91.08,1743.0,0.0
160,91.67,1742.0,0.0
161,92.22,1744.0,0.0
162,92.78,1744.0,0.0
163,93.34,1752.0,0.0
164,93.91,1753.0,0.0
165,94.47,1753.0,0.0
166,95.03,1750.0,0.0
167,95.59,1759.0,0.0
168,96.14,1758.0,0.0
169,96.70,1761.0,0.0
170,97.27,1765.0,0.0
171,97.81,1770.0,0.0
172,98.38,1770.0,0.0
173,98.94,1775.0,0.0
174,99.50,1777.0,0.0
175,100.06,1780.0,0.0
176,100.61,1783.0,0.0
177,101.59,2237.0,0.0
178,102.16,2224.0,0.0
179,102.73,2211.0,0.0
180,103.28,2262.0,0.0
181,103.84,2254.0,0.0
182,104.41,2270.0,0.0
183,104.95,2272.0,0.0
184,105.52,2275.0,0.0
185,106.06,2291.0,0.0
186,106.63,2300.0,0.0
187,107.19,2302.0,0.0
188,107.75,2311.0,0.0
189,108.31,2320.0,0.0
190,108.88,2329.0,0.0
191,109.42,2336.0,0.0
192,109.98,2344.0,0.0
193,110.53,2357.0,0.0
194,111.09,2370.0,0.0
195,111.66,2375.0,0.0
196,112.22,2384.0,0.0
197,114.03,1986.0,0.0
198,114.58,1952.0,0.0
199,115.14,1945.0,0.0
200,115.70,1954.0,0.0
201,116.27,1964.0,0.0
202,116.83,1974.0,0.0
203,117.39,1987.0,0.0
204,117.95,1990.0,0.0
205,118.50,2010.0,0.0
206,119.06,2021.0,0.0
207,119.63,2032.0,0.0
208,120.17,2045.0,0.0
209,120.73,2054.0,0.0
210,121.30,2086.0,0.0
211,121.84,2093.0,0.0
212,122.41,2099.0,0.0
213,122.95,2114.0,0.0
214,123.52,2123.0,0.0
215,124.08,2144.0,0.0
216,124.63,2160.0,0.0
217,125.19,2175.0,0.0
218,125.75,2185.0,0.0
219,126.31,2208.0,0.0
220,126.86,2229.0,0.0
221,127.42,2245.0,0.0
222,127.98,2260.0,0.0
223,128.55,2274.0,0.0
224,129.09,2257.0,0.0
225,129.66,2241.0,0.0
226,130.22,2221.0,0.0
